Generation,Min,Mean,Max,Std
-1,-30.70000115223229,-23.63083418593742,-14.1500004818663,3.3888186634732973
0,-31.300001177936792,-22.55000080758861,-4.300000021234155,4.931953848279569
1,-34.000001293607056,-19.203333996903773,-4.100000012665987,6.612361603801996
2,-31.50000118650496,-18.216667295697455,-6.450000113341957,6.14492137961548
3,-30.900001160800457,-18.957500665898745,-4.70000003837049,6.033371518182046
4,-38.45000148424879,-18.690000651885445,-3.2999999783933163,7.3974480666874936
5,-29.90000111795962,-14.91416714906227,-3.2999999783933163,7.3354626498724365
6,-50.100001983344555,-15.163333821894291,-3.499999986961484,9.022263900369486
7,-28.700001066550612,-14.212500451047283,-3.499999986961484,7.851187216365939
8,-50.20000198762864,-16.15250053413523,-3.2999999783933163,10.281259393040244
9,-31.100001169368625,-16.90916723452974,-3.3999999826774,8.66712452005354
10,-48.70000192336738,-12.055000356041516,-3.2999999783933163,9.289859115026289
11,-47.40000186767429,-14.217500450617324,-3.3999999826774,10.709185865191934
12,-49.25000194692984,-14.515833796087342,-3.1999999741092324,10.94489460208052
13,-50.600002004764974,-11.442500331733997,-2.200000163167715,9.846534600948033
14,-31.15000124881044,-10.39833362097852,-3.2999999783933163,8.215980547631647
15,-30.600001186598092,-11.30166699558807,-3.1999999741092324,9.068526392824648
16,-29.4000010965392,-9.994166939573672,-3.2999999783933163,8.704199987452265
17,-49.50000195764005,-12.05000035711564,-3.2999999783933163,10.156373636469443
18,-48.20000190194696,-10.764166981579425,-2.6000001803040504,9.895812210552531
19,-32.55000123148784,-11.182500324460367,-3.0999999698251486,9.716939336451345
20,-42.45000165561214,-10.643333628897865,-2.9999999655410647,10.435015491984815
21,-29.850001115817577,-10.918333650341568,-2.800000188872218,8.575425353925308
22,-31.700001195073128,-9.427500255072179,-2.9999999655410647,8.904186770869417
23,-48.50000191479921,-12.076667035875532,-2.2500000493600965,10.589013881579698
24,-31.400001182220876,-11.943333700695074,-1.000000111758709,9.757251843524147
25,-42.300001649186015,-10.749166968697683,-3.0999999698251486,10.43691207568171
26,-50.400001996196806,-9.242500247146625,-2.050000195391476,10.276871002986063
27,-50.600002004764974,-11.361666998802685,-2.200000163167715,10.96006192569626
28,-31.050001167226583,-8.51833355203271,0.09999978076666594,8.6836870137564
29,-32.700001237913966,-13.128333744375656,-2.600000025704503,10.468498290074901
30,-49.65000196406618,-9.387500275260148,4.999999526888132,10.269082744004495
31,-30.50000114366412,-9.846666940984626,0.9999997420236468,9.238871466107302
32,-30.100001126527786,-10.108333621437971,-1.8500001095235348,9.269822238810805
33,-48.40000191051513,-11.256667005255197,-2.2000000858679414,10.440843577483927
34,-50.70000200904906,-10.786667016684078,4.749999593477696,11.94886675199242
35,-31.400001182220876,-11.450000366816917,6.6999995624646544,9.9270005919699
36,-50.600002004764974,-12.833333740111751,3.149999679531902,13.31690292686187
37,-50.70000200904906,-12.41333373435773,1.1999997505918145,12.460584584452596
38,-50.600002004764974,-10.850000335338216,0.6499997656792402,11.47667608861828
39,-47.85000188695267,-10.167500310608496,1.499999763444066,10.397908152149274
