Generation,Min,Mean,Max,Std
-1,-22.86250082612969,-22.86250082612969,-22.86250082612969,0.0
0,-24.04166762693785,-24.04166762693785,-24.04166762693785,0.0
1,-17.437500609822262,-17.437500609822262,-17.437500609822262,0.0
2,-17.700000624288805,-17.700000624288805,-17.700000624288805,0.0
3,-21.879167453890357,-21.879167453890357,-21.879167453890357,0.0
4,-22.770834145873476,-22.770834145873476,-22.770834145873476,0.0
5,-18.116667295922525,-18.116667295922525,-18.116667295922525,0.0
6,-16.920833908137865,-16.920833908137865,-16.920833908137865,0.0
7,-15.858333898048537,-15.858333898048537,-15.858333898048537,0.0
8,-14.875000496821789,-14.875000496821789,-14.875000496821789,0.0
9,-12.350000398194728,-12.350000398194728,-12.350000398194728,0.0
10,-14.758333812273728,-14.758333812273728,-14.758333812273728,0.0
11,-11.445833660700979,-11.445833660700979,-11.445833660700979,0.0
12,-7.495833514025435,-7.495833514025435,-7.495833514025435,0.0
13,-10.362500409440448,-10.362500409440448,-10.362500409440448,0.0
14,-9.86250026919879,-9.86250026919879,-9.86250026919879,0.0
15,-13.362500425583372,-13.362500425583372,-13.362500425583372,0.0
16,-10.987500310953086,-10.987500310953086,-10.987500310953086,0.0
17,-12.012500451373247,-12.012500451373247,-12.012500451373247,0.0
18,-13.83333376942513,-13.83333376942513,-13.83333376942513,0.0
19,-14.104167120802837,-14.104167120802837,-14.104167120802837,0.0
20,-8.500000236594738,-8.500000236594738,-8.500000236594738,0.0
21,-10.375000352350375,-10.375000352350375,-10.375000352350375,0.0
22,-9.23750024564409,-9.23750024564409,-9.23750024564409,0.0
23,-15.22083383530844,-15.22083383530844,-15.22083383530844,0.0
24,-15.845833865304789,-15.845833865304789,-15.845833865304789,0.0
25,-11.250000338302925,-11.250000338302925,-11.250000338302925,0.0
26,-12.879167061881162,-12.879167061881162,-12.879167061881162,0.0
27,-10.12916702136863,-10.12916702136863,-10.12916702136863,0.0
28,-9.054166907677427,-9.054166907677427,-9.054166907677427,0.0
29,-4.487500087241642,-4.487500087241642,-4.487500087241642,0.0
30,-9.912500274561657,-9.912500274561657,-9.912500274561657,0.0
31,-13.825000438955612,-13.825000438955612,-13.825000438955612,0.0
32,-9.337500400957651,-9.337500400957651,-9.337500400957651,0.0
33,-10.25000034699527,-10.25000034699527,-10.25000034699527,0.0
34,-11.279167134935657,-11.279167134935657,-11.279167134935657,0.0
35,-10.475000305101275,-10.475000305101275,-10.475000305101275,0.0
36,-11.008333738349998,-11.008333738349998,-11.008333738349998,0.0
37,-6.658333725451182,-6.658333725451182,-6.658333725451182,0.0
38,-12.062500472840233,-12.062500472840233,-12.062500472840233,0.0
39,-8.0833335488569,-8.0833335488569,-8.0833335488569,0.0
