Generation,Min,Mean,Max,Std
-1,-31.300001177936792,-25.89083428082522,-5.600000076927245,4.896363585869208
0,-30.300001135095954,-20.290000708191656,-3.2999999783933163,6.976029495295873
1,-29.000001079402864,-19.61750067938119,-3.3999999826774,7.461690393591821
2,-31.700001195073128,-20.24083404006281,-3.2999999783933163,7.513490920242985
3,-31.400001182220876,-17.534167255507782,-3.2999999783933163,7.993166650633416
4,-31.00000116508454,-17.011667236988433,-3.599999991245568,7.264556772306717
5,-48.800001927651465,-16.184167199605145,-3.3999999826774,9.133562544786132
6,-31.80000119935721,-14.34000046099536,-3.2999999783933163,8.290566278190585
7,-30.100001126527786,-15.139167154836468,-3.2999999783933163,8.87906326273898
8,-29.600001105107367,-14.172042116476224,-3.2999999783933163,8.563332185710822
9,-32.60000123362988,-13.042500397058514,-3.2999999783933163,8.232425193045994
10,-42.90000167489052,-13.136667075489337,-3.2999999783933163,10.356704657344247
11,-48.20000190194696,-15.157500487022723,-3.2999999783933163,11.576686207841252
12,-44.00000172201544,-12.659167052456178,-3.2999999783933163,10.715100751065226
13,-50.70000200904906,-12.67583371468354,-3.2999999783933163,10.884161325989261
14,-43.90000171773136,-11.133333649245712,-3.2999999783933163,9.072480142049102
15,-48.90000193193555,-11.350833657275265,-3.2999999783933163,9.728941313189683
16,-46.90000184625387,-11.70416700510153,-3.2999999783933163,10.184254179485883
17,-50.50000200048089,-8.495000209325614,-3.2999999783933163,8.944103200828023
18,-47.85000188695267,-13.20916707344198,-3.2999999783933163,10.085429241829116
19,-31.20000117365271,-13.55916708970132,-3.2999999783933163,10.722167890678067
20,-29.70000110939145,-11.507500331941992,-3.2999999783933163,9.903471303157344
21,-30.800001156516373,-9.973333600194504,-3.2999999783933163,9.347546720062354
22,-48.65000192122534,-10.666666963230819,-3.2999999783933163,10.750247227008114
23,-49.40000195335597,-10.22833360854226,-3.2999999783933163,11.01126124826804
24,-28.200001045130193,-9.15833356399089,-3.2999999783933163,8.562735360031429
25,-29.600001105107367,-9.089166893716902,-3.2999999783933163,8.181728426414965
26,-48.70000192336738,-10.304166955407709,3.2999997260048985,10.320918879892371
27,-30.70000115223229,-8.493333549673359,1.0999997463077307,8.694052283746231
28,-30.100001126527786,-8.748333564462762,0.5499998000450432,8.64735046141082
29,-48.800001927651465,-9.060833644059796,11.2999994517304,11.020799185491901
30,-29.000001079402864,-6.765000133278469,-1.4000001288950443,6.9877830859911425
31,-33.00000125076622,-10.597500314858431,-0.4000001633539796,10.062606205549853
32,-50.70000200904906,-11.619167035577508,8.84999949997291,12.674095122835642
33,-29.70000110939145,-8.83750022915192,0.19999970775097609,8.619617637044183
34,-50.70000200904906,-12.105833717940065,8.449999482836574,13.252352813149281
35,-50.50000200048089,-11.772500398002254,11.449999340809882,13.440112809931602
36,-50.50000200048089,-10.805833706624496,11.949999323580414,13.524999229140388
37,-36.2000013878569,-9.43750028188806,7.699999528005719,10.056190950150063
38,-47.60000187624246,-10.165000369027258,10.199999481905252,12.561997670134275
39,-49.50000195764005,-5.457500227812367,11.24999921489507,10.682184913814924
