Generation,Min,Mean,Max,Std
-1,-25.82916763277414,-25.82916763277414,-25.82916763277414,0.0
0,-24.050000883444834,-24.050000883444834,-24.050000883444834,0.0
1,-18.433334079105407,-18.433334079105407,-18.433334079105407,0.0
2,-18.250000622084674,-18.250000622084674,-18.250000622084674,0.0
3,-20.45000074854276,-20.45000074854276,-20.45000074854276,0.0
4,-13.650000428237641,-13.650000428237641,-13.650000428237641,0.0
5,-17.645834006834775,-17.645834006834775,-17.645834006834775,0.0
6,-14.479167175401622,-14.479167175401622,-14.479167175401622,0.0
7,-17.525000597466715,-17.525000597466715,-17.525000597466715,0.0
8,-13.654167146615995,-13.654167146615995,-13.654167146615995,0.0
9,-13.962500477054467,-13.962500477054467,-13.962500477054467,0.0
10,-11.270833672528775,-11.270833672528775,-11.270833672528775,0.0
11,-12.97083375179985,-12.97083375179985,-12.97083375179985,0.0
12,-16.516667217714712,-16.516667217714712,-16.516667217714712,0.0
13,-11.608333667662615,-11.608333667662615,-11.608333667662615,0.0
14,-12.887500405233974,-12.887500405233974,-12.887500405233974,0.0
15,-7.783333571433711,-7.783333571433711,-7.783333571433711,0.0
16,-10.804166992311366,-10.804166992311366,-10.804166992311366,0.0
17,-12.129167181012841,-12.129167181012841,-12.129167181012841,0.0
18,-9.987500264891423,-9.987500264891423,-9.987500264891423,0.0
19,-10.550000314755986,-10.550000314755986,-10.550000314755986,0.0
20,-10.337500286327364,-10.337500286327364,-10.337500286327364,0.0
21,-8.104166899070455,-8.104166899070455,-8.104166899070455,0.0
22,-19.39583401416894,-19.39583401416894,-19.39583401416894,0.0
23,-17.4291672600278,-17.4291672600278,-17.4291672600278,0.0
24,-11.166667020724466,-11.166667020724466,-11.166667020724466,0.0
25,-8.520833699420715,-8.520833699420715,-8.520833699420715,0.0
26,-8.354166871247193,-8.354166871247193,-8.354166871247193,0.0
27,-5.74166695556293,-5.74166695556293,-5.74166695556293,0.0
28,-8.71250028112748,-8.71250028112748,-8.71250028112748,0.0
29,-15.166667163100405,-15.166667163100405,-15.166667163100405,0.0
30,-10.020833731706565,-10.020833731706565,-10.020833731706565,0.0
31,-9.187500285372758,-9.187500285372758,-9.187500285372758,0.0
32,-10.533333644154482,-10.533333644154482,-10.533333644154482,0.0
33,-11.004167026413294,-11.004167026413294,-11.004167026413294,0.0
34,-12.191667122378325,-12.191667122378325,-12.191667122378325,0.0
35,-9.604166921577416,-9.604166921577416,-9.604166921577416,0.0
36,-11.379166991178257,-11.379166991178257,-11.379166991178257,0.0
37,-13.2083337844039,-13.2083337844039,-13.2083337844039,0.0
38,-11.175000463689988,-11.175000463689988,-11.175000463689988,0.0
39,-5.7833337170692785,-5.7833337170692785,-5.7833337170692785,0.0
