Generation,Min,Mean,Max,Std
-1,-31.20000117365271,-24.085834213159977,-5.6000001155771315,5.9031144778069855
0,-29.500001100823283,-21.90166747289089,-1.0500002298504114,5.397846731175792
1,-30.20000113081187,-19.810834087897092,-1.800000300630927,6.802555462853997
2,-48.000002125278115,-19.925834073568694,-3.6999999955296516,7.904906465674357
3,-41.40000161062926,-15.720000538796496,-3.0500000063329935,8.15676237119092
4,-46.45000190427527,-16.675000586174427,-2.3000000515021384,8.82637419444964
5,-49.050002054311335,-17.38916730469403,-1.7500002211891115,10.864603127140146
6,-48.10000189766288,-16.52083392063311,-1.8000005325302482,10.608967941726148
7,-49.00000193621963,-12.850833762118903,-1.3000001246109605,9.249971055679797
8,-32.900001246482134,-13.42750045346717,-3.380700945854187e-07,8.639461296992156
9,-46.25000181840733,-14.136667153712672,8.149999391287565,10.43328394299642
10,-47.50000214250758,-13.360000447975471,9.299999559298158,10.508480336094538
11,-49.50000199628994,-15.185000528759945,6.749999564606696,12.571016441366972
12,-46.15000181412324,-11.304167049044432,7.799999649636447,10.826754708156
13,-47.900002082344145,-11.469167014358876,-2.600000025704503,11.650340604607411
14,-49.80000204779208,-10.255833670846187,10.099999477621168,10.931324260909653
15,-50.000002056360245,-11.386667067441158,19.099999168887734,12.644359764074343
16,-48.60000199638307,-9.555000276638506,-2.2000000472180545,10.660741145872697
17,-45.700001794844866,-9.042500283002543,8.599999371916056,9.878203744581784
18,-49.90000197477639,-12.42416708805443,7.7499996474944055,12.443561390510336
19,-28.90000107511878,-10.37500032718138,14.299999309703708,9.942482865178679
20,-48.550002032890916,-7.851666975168822,20.999999213032424,11.333269839131104
21,-50.200002026278526,-8.151666961610317,20.44999922811985,10.927210102090807
22,-49.40000195335597,-9.32916696059207,8.84999954001978,11.454814912019774
23,-28.60000106226653,-7.145833711807305,24.24999892571941,11.632333970582238
24,-46.90000196220353,-10.279167039273307,16.09999923221767,12.968173943683041
25,-46.1000018119812,-7.839166975254193,23.049998951610178,11.385367674639976
26,-46.600002142600715,-11.0608336802572,-0.35000016121193767,11.411230709529331
27,-30.300001135095954,-7.770833656292719,23.89999902807176,11.129335639486786
28,-50.100001983344555,-11.074167057157805,22.199999109841883,13.875504933047923
29,-46.75000191712752,-9.379167010309175,22.249999111983925,11.559150051955754
30,-49.10000205645338,-10.140833700657822,14.199999189469963,12.224489171728537
31,-49.90000205207616,-11.555833756745171,20.299999221693724,14.220581490676743
32,-50.25000202842057,-9.963333659626853,21.49999892245978,11.237407649336108
33,-47.750001882668585,-9.618333723271887,17.549999374430627,12.812653520213857
34,-46.80000191926956,-10.310000351358516,21.24999914644286,11.567695369057923
35,-50.00000201771036,-10.354167032800614,14.94999941624701,12.486467449853563
36,-50.20000198762864,-12.855833798313203,18.999999281950295,14.300487408190387
37,-50.400001996196806,-7.955000339223383,21.349999150726944,12.118892944607996
38,-49.70000212080777,-11.873333788934785,16.89999934658408,14.784233313836989
39,-50.400001996196806,-8.550833720558634,22.149999069049954,13.44430668896476
