Generation,Min,Mean,Max,Std
-1,-23.45833420109314,-23.45833420109314,-23.45833420109314,0.0
0,-23.550000855582766,-23.550000855582766,-23.550000855582766,0.0
1,-20.51666749501601,-20.51666749501601,-20.51666749501601,0.0
2,-17.89166728950416,-17.89166728950416,-17.89166728950416,0.0
3,-16.47916720966653,-16.47916720966653,-16.47916720966653,0.0
4,-17.000000584637746,-17.000000584637746,-17.000000584637746,0.0
5,-14.208333788711267,-14.208333788711267,-14.208333788711267,0.0
6,-15.883333870132143,-15.883333870132143,-15.883333870132143,0.0
7,-13.950000447531542,-13.950000447531542,-13.950000447531542,0.0
8,-14.600000530132093,-14.600000530132093,-14.600000530132093,0.0
9,-14.012500475975685,-14.012500475975685,-14.012500475975685,0.0
10,-17.712500615161844,-17.712500615161844,-17.712500615161844,0.0
11,-12.895833771016138,-12.895833771016138,-12.895833771016138,0.0
12,-18.991667352733202,-18.991667352733202,-18.991667352733202,0.0
13,-13.12916708869549,-13.12916708869549,-13.12916708869549,0.0
14,-8.604166881957402,-8.604166881957402,-8.604166881957402,0.0
15,-9.804167004108118,-9.804167004108118,-9.804167004108118,0.0
16,-17.550000624304328,-17.550000624304328,-17.550000624304328,0.0
17,-9.850000275104927,-9.850000275104927,-9.850000275104927,0.0
18,-15.333333827244738,-15.333333827244738,-15.333333827244738,0.0
19,-4.0083333517347155,-4.0083333517347155,-4.0083333517347155,0.0
20,-4.870833488530479,-4.870833488530479,-4.870833488530479,0.0
21,-11.816667016362771,-11.816667016362771,-11.816667016362771,0.0
22,-9.53750026493799,-9.53750026493799,-9.53750026493799,0.0
23,-6.304167002090253,-6.304167002090253,-6.304167002090253,0.0
24,-8.008333519877246,-8.008333519877246,-8.008333519877246,0.0
25,-14.154167110061584,-14.154167110061584,-14.154167110061584,0.0
26,-10.183333715889603,-10.183333715889603,-10.183333715889603,0.0
27,-9.383333601329165,-9.383333601329165,-9.383333601329165,0.0
28,-9.008333569159731,-9.008333569159731,-9.008333569159731,0.0
29,-13.670833775346788,-13.670833775346788,-13.670833775346788,0.0
30,-15.412500535952859,-15.412500535952859,-15.412500535952859,0.0
31,-16.41250054658546,-16.41250054658546,-16.41250054658546,0.0
32,-13.695833782859458,-13.695833782859458,-13.695833782859458,0.0
33,-5.445833590114489,-5.445833590114489,-5.445833590114489,0.0
34,-9.837500258465298,-9.837500258465298,-9.837500258465298,0.0
35,-14.037500473825881,-14.037500473825881,-14.037500473825881,0.0
36,-9.887500305582458,-9.887500305582458,-9.887500305582458,0.0
37,-9.15000024511634,-9.15000024511634,-9.15000024511634,0.0
38,-10.891666970293349,-10.891666970293349,-10.891666970293349,0.0
39,-13.47916709080649,-13.47916709080649,-13.47916709080649,0.0
