Generation,Min,Mean,Max,Std
-1,-25.870834278680075,-25.870834278680075,-25.870834278680075,0.0
0,-21.187500751150463,-21.187500751150463,-21.187500751150463,0.0
1,-21.35000079664557,-21.35000079664557,-21.35000079664557,0.0
2,-15.550000509635234,-15.550000509635234,-15.550000509635234,0.0
3,-18.987500698771328,-18.987500698771328,-18.987500698771328,0.0
4,-16.987500567998115,-16.987500567998115,-16.987500567998115,0.0
5,-14.300000456084186,-14.300000456084186,-14.300000456084186,0.0
6,-13.958333787663529,-13.958333787663529,-13.958333787663529,0.0
7,-17.2916672831246,-17.2916672831246,-17.2916672831246,0.0
8,-16.508333887245197,-16.508333887245197,-16.508333887245197,0.0
9,-13.775000433592746,-13.775000433592746,-13.775000433592746,0.0
10,-15.500000523597313,-15.500000523597313,-15.500000523597313,0.0
11,-12.483333711589998,-12.483333711589998,-12.483333711589998,0.0
12,-12.466667044209316,-12.466667044209316,-12.466667044209316,0.0
13,-12.11250035914903,-12.11250035914903,-12.11250035914903,0.0
14,-18.291667313082144,-18.291667313082144,-18.291667313082144,0.0
15,-12.750000399343358,-12.750000399343358,-12.750000399343358,0.0
16,-7.55000021844171,-7.55000021844171,-7.55000021844171,0.0
17,-7.9416668503545225,-7.9416668503545225,-7.9416668503545225,0.0
18,-15.366667168447748,-15.366667168447748,-15.366667168447748,0.0
19,-11.375000340437206,-11.375000340437206,-11.375000340437206,0.0
20,-15.100000490356857,-15.100000490356857,-15.100000490356857,0.0
21,-8.708333562749127,-8.708333562749127,-8.708333562749127,0.0
22,-12.808333748059036,-12.808333748059036,-12.808333748059036,0.0
23,-9.250000233296305,-9.250000233296305,-9.250000233296305,0.0
24,-12.591667062447717,-12.591667062447717,-12.591667062447717,0.0
25,-11.150000340460489,-11.150000340460489,-11.150000340460489,0.0
26,-5.850000087637454,-5.850000087637454,-5.850000087637454,0.0
27,-13.200000405738441,-13.200000405738441,-13.200000405738441,0.0
28,-3.683333328148971,-3.683333328148971,-3.683333328148971,0.0
29,-11.795833717565984,-11.795833717565984,-11.795833717565984,0.0
30,-8.81666689106108,-8.81666689106108,-8.81666689106108,0.0
31,-7.279166818751643,-7.279166818751643,-7.279166818751643,0.0
32,-9.54583359862833,-9.54583359862833,-9.54583359862833,0.0
33,-15.9458339176684,-15.9458339176684,-15.9458339176684,0.0
34,-15.29583384496315,-15.29583384496315,-15.29583384496315,0.0
35,-5.883333477152822,-5.883333477152822,-5.883333477152822,0.0
36,-5.008333455771208,-5.008333455771208,-5.008333455771208,0.0
37,-15.862500548789589,-15.862500548789589,-15.862500548789589,0.0
38,-13.904167118676318,-13.904167118676318,-13.904167118676318,0.0
39,-8.74166689106884,-8.74166689106884,-8.74166689106884,0.0
