Generation,Min,Mean,Max,Std
-1,-23.26666750366955,-23.26666750366955,-23.26666750366955,0.0
0,-21.68750079833747,-21.68750079833747,-21.68750079833747,0.0
1,-18.79583398202279,-18.79583398202279,-18.79583398202279,0.0
2,-19.829167382170755,-19.829167382170755,-19.829167382170755,0.0
3,-21.050000751701493,-21.050000751701493,-21.050000751701493,0.0
4,-14.541667133104056,-14.541667133104056,-14.541667133104056,0.0
5,-15.450000515013622,-15.450000515013622,-15.450000515013622,0.0
6,-14.666667151342457,-14.666667151342457,-14.666667151342457,0.0
7,-14.61250049523854,-14.61250049523854,-14.61250049523854,0.0
8,-14.154167122944878,-14.154167122944878,-14.154167122944878,0.0
9,-13.120833735680208,-13.120833735680208,-13.120833735680208,0.0
10,-8.979166920568483,-8.979166920568483,-8.979166920568483,0.0
11,-9.591666914600259,-9.591666914600259,-9.591666914600259,0.0
12,-13.28750048034514,-13.28750048034514,-13.28750048034514,0.0
13,-13.92500046256464,-13.92500046256464,-13.92500046256464,0.0
14,-12.733333722300207,-12.733333722300207,-12.733333722300207,0.0
15,-13.991667186608538,-13.991667186608538,-13.991667186608538,0.0
16,-14.600000468936438,-14.600000468936438,-14.600000468936438,0.0
17,-12.483333750239884,-12.483333750239884,-12.483333750239884,0.0
18,-14.42500049364753,-14.42500049364753,-14.42500049364753,0.0
19,-19.1166673709716,-19.1166673709716,-19.1166673709716,0.0
20,-12.987500393413939,-12.987500393413939,-12.987500393413939,0.0
21,-10.400000311550684,-10.400000311550684,-10.400000311550684,0.0
22,-9.566666926412532,-9.566666926412532,-9.566666926412532,0.0
23,-9.791666971480785,-9.791666971480785,-9.791666971480785,0.0
24,-12.720833728206344,-12.720833728206344,-12.720833728206344,0.0
25,-15.2291671851029,-15.2291671851029,-15.2291671851029,0.0
26,-11.420833688617373,-11.420833688617373,-11.420833688617373,0.0
27,-12.904167104822895,-12.904167104822895,-12.904167104822895,0.0
28,-3.5875000068141767,-3.5875000068141767,-3.5875000068141767,0.0
29,-11.62916703731753,-11.62916703731753,-11.62916703731753,0.0
30,-13.729167091854228,-13.729167091854228,-13.729167091854228,0.0
31,-10.59583364361121,-10.59583364361121,-10.59583364361121,0.0
32,-11.395833713312944,-11.395833713312944,-11.395833713312944,0.0
33,-15.104167205514386,-15.104167205514386,-15.104167205514386,0.0
34,-10.908333637674028,-10.908333637674028,-10.908333637674028,0.0
35,-8.412500226404518,-8.412500226404518,-8.412500226404518,0.0
36,-8.158333548849138,-8.158333548849138,-8.158333548849138,0.0
37,-13.100000424000124,-13.100000424000124,-13.100000424000124,0.0
38,-7.966666883633782,-7.966666883633782,-7.966666883633782,0.0
39,-10.625000321189873,-10.625000321189873,-10.625000321189873,0.0
