Generation,Min,Mean,Max,Std
-1,-24.133334226789884,-24.133334226789884,-24.133334226789884,0.0
0,-18.00000061459529,-18.00000061459529,-18.00000061459529,0.0
1,-5.47500011344285,-5.47500011344285,-5.47500011344285,0.0
2,-12.187500407453626,-12.187500407453626,-12.187500407453626,0.0
3,-4.487500042150107,-4.487500042150107,-4.487500042150107,0.0
4,-3.2166666704773283,-3.2166666704773283,-3.2166666704773283,0.0
5,-9.191666923230514,-9.191666923230514,-9.191666923230514,0.0
6,-11.933333681585887,-11.933333681585887,-11.933333681585887,0.0
7,-9.858333647445155,-9.858333647445155,-9.858333647445155,0.0
8,-9.016666918954192,-9.016666918954192,-9.016666918954192,0.0
9,-7.941666876121114,-7.941666876121114,-7.941666876121114,0.0
10,-7.612500217898439,-7.612500217898439,-7.612500217898439,0.0
11,-5.545833536772989,-5.545833536772989,-5.545833536772989,0.0
12,-1.570833556043605,-1.570833556043605,-1.570833556043605,0.0
13,-3.979167014748479,-3.979167014748479,-3.979167014748479,0.0
14,-5.462500386095296,-5.462500386095296,-5.462500386095296,0.0
15,-1.2500004142833252,-1.2500004142833252,-1.2500004142833252,0.0
16,-0.9333337116210411,-0.9333337116210411,-0.9333337116210411,0.0
17,-10.350000819889829,-10.350000819889829,-10.350000819889829,0.0
18,-8.98333384473032,-8.98333384473032,-8.98333384473032,0.0
19,-2.7666671519012502,-2.7666671519012502,-2.7666671519012502,0.0
20,-8.60000070972213,-8.60000070972213,-8.60000070972213,0.0
21,-4.379167353268713,-4.379167353268713,-4.379167353268713,0.0
22,2.4083330182669065,2.4083330182669065,2.4083330182669065,0.0
23,-3.9041671433563656,-3.9041671433563656,-3.9041671433563656,0.0
24,-0.4750004958671828,-0.4750004958671828,-0.4750004958671828,0.0
25,-4.2041670821296675,-4.2041670821296675,-4.2041670821296675,0.0
26,-1.0541672135780875,-1.0541672135780875,-1.0541672135780875,0.0
27,-1.2208337172633037,-1.2208337172633037,-1.2208337172633037,0.0
28,-1.0458337355327483,-1.0458337355327483,-1.0458337355327483,0.0
29,-11.970834277531443,-11.970834277531443,-11.970834277531443,0.0
30,-1.9875005617116888,-1.9875005617116888,-1.9875005617116888,0.0
31,-3.033333794446662,-3.033333794446662,-3.033333794446662,0.0
32,6.183333068309973,6.183333068309973,6.183333068309973,0.0
33,-3.1791671762475744,-3.1791671762475744,-3.1791671762475744,0.0
34,-4.854167228681035,-4.854167228681035,-4.854167228681035,0.0
35,3.7833329585846514,3.7833329585846514,3.7833329585846514,0.0
36,-5.166667367215268,-5.166667367215268,-5.166667367215268,0.0
37,-3.5333339641413963,-3.5333339641413963,-3.5333339641413963,0.0
38,-0.43208397016860545,-0.43208397016860545,-0.43208397016860545,0.0
39,4.743749549767624,4.743749549767624,4.743749549767624,0.0
