Generation,Min,Mean,Max,Std
-1,-23.566667529405095,-23.566667529405095,-23.566667529405095,0.0
0,-21.987500782202307,-21.987500782202307,-21.987500782202307,0.0
1,-8.85833354985031,-8.85833354985031,-8.85833354985031,0.0
2,-19.34166733874008,-19.34166733874008,-19.34166733874008,0.0
3,-11.770833710053315,-11.770833710053315,-11.770833710053315,0.0
4,-3.704166800637419,-3.704166800637419,-3.704166800637419,0.0
5,-9.504166988035044,-9.504166988035044,-9.504166988035044,0.0
6,-6.379166902353366,-6.379166902353366,-6.379166902353366,0.0
7,-14.162500591560578,-14.162500591560578,-14.162500591560578,0.0
8,-3.0750001716660336,-3.0750001716660336,-3.0750001716660336,0.0
9,-8.408333614313355,-8.408333614313355,-8.408333614313355,0.0
10,-10.354167143270994,-10.354167143270994,-10.354167143270994,0.0
11,-2.195833418673525,-2.195833418673525,-2.195833418673525,0.0
12,-10.650000521369899,-10.650000521369899,-10.650000521369899,0.0
13,-5.883333589648828,-5.883333589648828,-5.883333589648828,0.0
14,-5.191666902663807,-5.191666902663807,-5.191666902663807,0.0
15,-0.8541667783865705,-0.8541667783865705,-0.8541667783865705,0.0
16,-5.625000183819793,-5.625000183819793,-5.625000183819793,0.0
17,-11.858333762114247,-11.858333762114247,-11.858333762114247,0.0
18,-3.4625001656046757,-3.4625001656046757,-3.4625001656046757,0.0
19,-13.941667165257968,-13.941667165257968,-13.941667165257968,0.0
20,-13.583333781260686,-13.583333781260686,-13.583333781260686,0.0
21,-13.341667239166176,-13.341667239166176,-13.341667239166176,0.0
22,-6.937500323556985,-6.937500323556985,-6.937500323556985,0.0
23,-7.8250003523814184,-7.8250003523814184,-7.8250003523814184,0.0
24,-7.737500277541888,-7.737500277541888,-7.737500277541888,0.0
25,-5.200000156299211,-5.200000156299211,-5.200000156299211,0.0
26,-7.108333552178617,-7.108333552178617,-7.108333552178617,0.0
27,-10.341667123294124,-10.341667123294124,-10.341667123294124,0.0
28,-4.516666925395839,-4.516666925395839,-4.516666925395839,0.0
29,-5.537500215616698,-5.537500215616698,-5.537500215616698,0.0
30,-5.52916690792578,-5.52916690792578,-5.52916690792578,0.0
31,-6.837500329284619,-6.837500329284619,-6.837500329284619,0.0
32,-5.708333637022103,-5.708333637022103,-5.708333637022103,0.0
33,-12.06250068161171,-12.06250068161171,-12.06250068161171,0.0
34,-3.829167133468824,-3.829167133468824,-3.829167133468824,0.0
35,2.437499827782934,2.437499827782934,2.437499827782934,0.0
36,-0.32500030391383916,-0.32500030391383916,-0.32500030391383916,0.0
37,-10.770833962596953,-10.770833962596953,-10.770833962596953,0.0
38,1.9333331326100354,1.9333331326100354,1.9333331326100354,0.0
39,-9.179167118699601,-9.179167118699601,-9.179167118699601,0.0
