Generation,Min,Mean,Max,Std
-1,-22.195834124460816,-22.195834124460816,-22.195834124460816,0.0
0,-17.779167281463742,-17.779167281463742,-17.779167281463742,0.0
1,-14.283333811249273,-14.283333811249273,-14.283333811249273,0.0
2,-12.908333749122297,-12.908333749122297,-12.908333749122297,0.0
3,-9.612500287475996,-9.612500287475996,-9.612500287475996,0.0
4,-8.483333582097353,-8.483333582097353,-8.483333582097353,0.0
5,-6.991666803214078,-6.991666803214078,-6.991666803214078,0.0
6,-6.991666803214078,-6.991666803214078,-6.991666803214078,0.0
7,-4.462500102274741,-4.462500102274741,-4.462500102274741,0.0
8,-4.462500102274741,-4.462500102274741,-4.462500102274741,0.0
9,-4.462500102274741,-4.462500102274741,-4.462500102274741,0.0
10,-4.462500102274741,-4.462500102274741,-4.462500102274741,0.0
11,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
12,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
13,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
14,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
15,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
16,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
17,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
18,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
19,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
20,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
21,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
22,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
23,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
24,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
25,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
26,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
27,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
28,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
29,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
30,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
31,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
32,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
33,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
34,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
35,-2.737500009049351,-2.737500009049351,-2.737500009049351,0.0
36,-2.5375000194568806,-2.5375000194568806,-2.5375000194568806,0.0
37,-2.5375000194568806,-2.5375000194568806,-2.5375000194568806,0.0
38,-2.3208333664030456,-2.3208333664030456,-2.3208333664030456,0.0
39,-2.3208333664030456,-2.3208333664030456,-2.3208333664030456,0.0
