Generation,Min,Mean,Max,Std
-1,-22.65000081380519,-22.65000081380519,-22.65000081380519,0.0
0,-18.08333395149869,-18.08333395149869,-18.08333395149869,0.0
1,-11.550000347934352,-11.550000347934352,-11.550000347934352,0.0
2,-20.125000766827725,-20.125000766827725,-20.125000766827725,0.0
3,-13.145833791505234,-13.145833791505234,-13.145833791505234,0.0
4,-7.120833507622592,-7.120833507622592,-7.120833507622592,0.0
5,-6.61666682579865,-6.61666682579865,-6.61666682579865,0.0
6,-11.13750032382086,-11.13750032382086,-11.13750032382086,0.0
7,-15.566667234990746,-15.566667234990746,-15.566667234990746,0.0
8,-9.250000271946192,-9.250000271946192,-9.250000271946192,0.0
9,-4.658333440776914,-4.658333440776914,-4.658333440776914,0.0
10,-6.929166832744765,-6.929166832744765,-6.929166832744765,0.0
11,-10.695833670324646,-10.695833670324646,-10.695833670324646,0.0
12,-13.245833766801903,-13.245833766801903,-13.245833766801903,0.0
13,-8.62083359765044,-8.62083359765044,-8.62083359765044,0.0
14,-6.533333517882663,-6.533333517882663,-6.533333517882663,0.0
15,-11.054167038450638,-11.054167038450638,-11.054167038450638,0.0
16,-4.225000092100042,-4.225000092100042,-4.225000092100042,0.0
17,-4.529166758914168,-4.529166758914168,-4.529166758914168,0.0
18,-8.354166900234608,-8.354166900234608,-8.354166900234608,0.0
19,-4.733333415002562,-4.733333415002562,-4.733333415002562,0.0
20,-7.125000206676002,-7.125000206676002,-7.125000206676002,0.0
21,-9.14583356216705,-9.14583356216705,-9.14583356216705,0.0
22,-9.070833610370755,-9.070833610370755,-9.070833610370755,0.0
23,-4.67916674601535,-4.67916674601535,-4.67916674601535,0.0
24,-8.400000254856423,-8.400000254856423,-8.400000254856423,0.0
25,-6.491666839768489,-6.491666839768489,-6.491666839768489,0.0
26,-4.750000101708186,-4.750000101708186,-4.750000101708186,0.0
27,-8.229166930308565,-8.229166930308565,-8.229166930308565,0.0
28,-8.88333358312957,-8.88333358312957,-8.88333358312957,0.0
29,-4.266666747435617,-4.266666747435617,-4.266666747435617,0.0
30,-4.141666754847392,-4.141666754847392,-4.141666754847392,0.0
31,-6.0625001865749555,-6.0625001865749555,-6.0625001865749555,0.0
32,-8.004166933436258,-8.004166933436258,-8.004166933436258,0.0
33,-5.208333464106545,-5.208333464106545,-5.208333464106545,0.0
34,-6.504166843291993,-6.504166843291993,-6.504166843291993,0.0
35,-7.087500182523702,-7.087500182523702,-7.087500182523702,0.0
36,-8.516666952054948,-8.516666952054948,-8.516666952054948,0.0
37,-12.300000396169102,-12.300000396169102,-12.300000396169102,0.0
38,-15.033333907796381,-15.033333907796381,-15.033333907796381,0.0
39,-2.454166673007421,-2.454166673007421,-2.454166673007421,0.0
