Generation,Min,Mean,Max,Std
-1,-25.475000941272203,-25.475000941272203,-25.475000941272203,0.0
0,-15.00833381654229,-15.00833381654229,-15.00833381654229,0.0
1,-13.59166709240526,-13.59166709240526,-13.59166709240526,0.0
2,-16.91666724451352,-16.91666724451352,-16.91666724451352,0.0
3,-18.716667308743734,-18.716667308743734,-18.716667308743734,0.0
4,-4.904166745992067,-4.904166745992067,-4.904166745992067,0.0
5,-10.608333653809192,-10.608333653809192,-10.608333653809192,0.0
6,-8.891667183682634,-8.891667183682634,-8.891667183682634,0.0
7,-0.5833335454808548,-0.5833335454808548,-0.5833335454808548,0.0
8,-1.1166670208331198,-1.1166670208331198,-1.1166670208331198,0.0
9,-1.7708336347714067,-1.7708336347714067,-1.7708336347714067,0.0
10,-5.220833776363482,-5.220833776363482,-5.220833776363482,0.0
11,-5.425000499856348,-5.425000499856348,-5.425000499856348,0.0
12,-7.054167130845599,-7.054167130845599,-7.054167130845599,0.0
13,-0.333333541212293,-0.333333541212293,-0.333333541212293,0.0
14,-5.550000457714002,-5.550000457714002,-5.550000457714002,0.0
15,-12.400000747603675,-12.400000747603675,-12.400000747603675,0.0
16,-7.570833880493107,-7.570833880493107,-7.570833880493107,0.0
17,-8.700000601859452,-8.700000601859452,-8.700000601859452,0.0
18,-5.300000545568764,-5.300000545568764,-5.300000545568764,0.0
19,-0.6250003517294923,-0.6250003517294923,-0.6250003517294923,0.0
20,-2.7208338108612224,-2.7208338108612224,-2.7208338108612224,0.0
21,-4.2500003884391235,-4.2500003884391235,-4.2500003884391235,0.0
22,1.1499996816273779,1.1499996816273779,1.1499996816273779,0.0
23,-7.9583338390026865,-7.9583338390026865,-7.9583338390026865,0.0
24,2.133333131632147,2.133333131632147,2.133333131632147,0.0
25,-3.3708336968751005,-3.3708336968751005,-3.3708336968751005,0.0
26,-4.6458336975580705,-4.6458336975580705,-4.6458336975580705,0.0
27,-2.458333622703018,-2.458333622703018,-2.458333622703018,0.0
28,-4.1541670960917445,-4.1541670960917445,-4.1541670960917445,0.0
29,-4.854167126545993,-4.854167126545993,-4.854167126545993,0.0
30,-7.6833338337795185,-7.6833338337795185,-7.6833338337795185,0.0
31,-3.0666670786061636,-3.0666670786061636,-3.0666670786061636,0.0
32,-4.025000404915772,-4.025000404915772,-4.025000404915772,0.0
33,-6.491667244078902,-6.491667244078902,-6.491667244078902,0.0
34,-6.341667055113551,-6.341667055113551,-6.341667055113551,0.0
35,-4.933333745187459,-4.933333745187459,-4.933333745187459,0.0
36,-1.1700002571257453,-1.1700002571257453,-1.1700002571257453,0.0
37,-10.641667322604917,-10.641667322604917,-10.641667322604917,0.0
38,-2.625000453864535,-2.625000453864535,-2.625000453864535,0.0
39,-2.7458336766576394,-2.7458336766576394,-2.7458336766576394,0.0
