Generation,Min,Mean,Max,Std
-1,-30.600001147948205,-24.87500092200935,-19.200000659562647,3.626654957673128
0,-31.100001169368625,-22.870834176568316,-4.500000029802322,5.2872513358652515
1,-49.650002002716064,-19.375834025551253,-2.8500000750645995,13.562487124041988
2,-48.600001957733184,-16.76583393306161,-2.899999961256981,14.95120598961728
3,-49.90000205207616,-18.733334007044323,-2.8000000342726707,16.65580719356429
4,-49.70000204350799,-19.53416736824438,-2.899999961256981,16.421570622346817
5,-47.60000187624246,-13.28166709522872,-2.8000000342726707,12.248068308140944
6,-50.400001996196806,-20.66916744771879,-1.6000000601634383,15.751992890377391
7,-50.50000200048089,-19.106667347997426,-2.799999995622784,14.677530136620334
8,-50.00000197906047,-17.92250066982427,-2.2000000472180545,15.828014973933247
9,-48.5000019534491,-13.610833829416272,-0.7000001375563443,13.470644882870696
10,-50.30000199191272,-19.798334068727367,-1.5000000558793545,16.937631325209452
11,-48.90000193193555,-19.131667369014274,-2.3000000128522515,16.946367054087506
12,-50.20000198762864,-16.763333977285463,-1.9500000751577318,16.4935344906207
13,-50.00000201771036,-17.447500640526414,-0.8500001053325832,17.303486482072593
14,-49.10000194050372,-13.040000438822123,-1.500000171829015,15.404220333203247
15,-49.00000193621963,-14.827500523750981,-1.4000001288950443,15.439512828177602
16,-49.00000193621963,-13.792500480629194,-1.4500000923871994,13.29358242892017
17,-49.300001949071884,-15.49250053484769,-0.9000001074746251,16.051072385897037
18,-48.90000193193555,-15.071667200187221,-1.650000100955367,14.948033880845568
19,-49.80000204779208,-14.068333818142612,-1.4000000902451575,14.261005063798441
20,-50.00000197906047,-17.5208339576299,-2.2000000472180545,16.565764328760373
21,-50.400001996196806,-17.99416735113288,-1.2000001203268766,15.42597736562477
22,-50.20000198762864,-14.717500530633455,-1.3500000881031156,14.804312583633948
23,-48.20000201789662,-13.00250044358739,-1.1000001160427928,12.281017127123123
24,-50.10000202199444,-20.80000077446457,-1.850000070873648,17.63444859791075
25,-50.00000197906047,-15.08333386417944,-1.6500000623054802,14.527809203254668
26,-49.600001961924136,-12.106667113676668,-1.3000000859610736,14.509820513999312
27,-49.50000199628994,-16.921667290416856,-1.6500000623054802,16.266080845269258
28,-49.00000193621963,-16.042500570672566,-1.6000000601634383,14.431533882837082
29,-50.20000198762864,-14.263333823919917,-1.2500001997686923,15.176292095521838
30,-50.100001983344555,-14.875833884898263,-1.7000000644475222,15.70081671992804
31,-49.60000200057402,-15.260833892350396,-0.950000109616667,14.122595064548538
32,-50.100001983344555,-18.285834029053028,-1.8500001095235348,16.21462395866211
33,-50.100001983344555,-18.235000659447785,-1.5000000945292413,16.058392304004705
34,-50.10000206064433,-13.54000048143013,-1.5500000966712832,14.573983732225866
35,-49.90000205207616,-14.308333838063602,-1.2500000838190317,14.688148242446166
36,-49.85000201128423,-14.956667190774654,-1.6000000601634383,13.950094573919788
37,-49.70000204350799,-15.340000548927735,-1.3500000881031156,14.534516447346336
38,-49.40000195335597,-12.59416711788314,-1.5000000558793545,13.229985742420322
39,-50.20000198762864,-13.012500451769059,-1.0500001525506377,13.717591551187732
