Generation,Min,Mean,Max,Std
-1,-23.262500869032618,-23.262500869032618,-23.262500869032618,0.0
0,-19.850000703513313,-19.850000703513313,-19.850000703513313,0.0
1,-17.258333919375826,-17.258333919375826,-17.258333919375826,0.0
2,-14.029167117589774,-14.029167117589774,-14.029167117589774,0.0
3,-12.175000358605757,-12.175000358605757,-12.175000358605757,0.0
4,-11.170833648919748,-11.170833648919748,-11.170833648919748,0.0
5,-10.762500307755545,-10.762500307755545,-10.762500307755545,0.0
6,-15.200000488199294,-15.200000488199294,-15.200000488199294,0.0
7,-13.470833776441092,-13.470833776441092,-13.470833776441092,0.0
8,-14.845833832126422,-14.845833832126422,-14.845833832126422,0.0
9,-18.400000657498214,-18.400000657498214,-18.400000657498214,0.0
10,-19.55416734784376,-19.55416734784376,-19.55416734784376,0.0
11,-6.420833484075653,-6.420833484075653,-6.420833484075653,0.0
12,-23.808334248295676,-23.808334248295676,-23.808334248295676,0.0
13,-13.541667087042393,-13.541667087042393,-13.541667087042393,0.0
14,-21.845834128791466,-21.845834128791466,-21.845834128791466,0.0
15,-12.57500039828786,-12.57500039828786,-12.57500039828786,0.0
16,-21.662500794045627,-21.662500794045627,-21.662500794045627,0.0
17,-14.354167176488167,-14.354167176488167,-14.354167176488167,0.0
18,-18.500000665003125,-18.500000665003125,-18.500000665003125,0.0
19,-11.950000390720865,-11.950000390720865,-11.950000390720865,0.0
20,-18.6541673221703,-18.6541673221703,-18.6541673221703,0.0
21,-12.433333731993722,-12.433333731993722,-12.433333731993722,0.0
22,-13.408333776984364,-13.408333776984364,-13.408333776984364,0.0
23,-9.779166922632916,-9.779166922632916,-9.779166922632916,0.0
24,-17.816667283070274,-17.816667283070274,-17.816667283070274,0.0
25,-20.50833411658338,-20.50833411658338,-20.50833411658338,0.0
26,-17.525000623233307,-17.525000623233307,-17.525000623233307,0.0
27,-16.425000569666736,-16.425000569666736,-16.425000569666736,0.0
28,-19.541667395620607,-19.541667395620607,-19.541667395620607,0.0
29,-12.2583337565884,-12.2583337565884,-12.2583337565884,0.0
30,-21.879167469994474,-21.879167469994474,-21.879167469994474,0.0
31,-14.91666716527349,-14.91666716527349,-14.91666716527349,0.0
32,-20.12500073450307,-20.12500073450307,-20.12500073450307,0.0
33,-22.82500085028975,-22.82500085028975,-22.82500085028975,0.0
34,-17.962500635534525,-17.962500635534525,-17.962500635534525,0.0
35,-18.141667280889425,-18.141667280889425,-18.141667280889425,0.0
36,-23.020834208116867,-23.020834208116867,-23.020834208116867,0.0
37,-23.36666754016187,-23.36666754016187,-23.36666754016187,0.0
38,-12.808333738396565,-12.808333738396565,-12.808333738396565,0.0
39,-15.045833847136237,-15.045833847136237,-15.045833847136237,0.0
