Generation,Min,Mean,Max,Std
-1,-22.56250081649826,-22.56250081649826,-22.56250081649826,0.0
0,-18.729167309279244,-18.729167309279244,-18.729167309279244,0.0
1,-14.800000471062958,-14.800000471062958,-14.800000471062958,0.0
2,-13.829167105800783,-13.829167105800783,-13.829167105800783,0.0
3,-10.395833631822219,-10.395833631822219,-10.395833631822219,0.0
4,-6.525000193738379,-6.525000193738379,-6.525000193738379,0.0
5,-7.5000001969747245,-7.5000001969747245,-7.5000001969747245,0.0
6,-3.320833319060815,-3.320833319060815,-3.320833319060815,0.0
7,-7.308333554072306,-7.308333554072306,-7.308333554072306,0.0
8,-1.5791667996672913,-1.5791667996672913,-1.5791667996672913,0.0
9,-3.5041669592028484,-3.5041669592028484,-3.5041669592028484,0.0
10,-7.579166899241197,-7.579166899241197,-7.579166899241197,0.0
11,-4.016666859116715,-4.016666859116715,-4.016666859116715,0.0
12,-3.1833336313332743,-3.1833336313332743,-3.1833336313332743,0.0
13,-6.079167005217944,-6.079167005217944,-6.079167005217944,0.0
14,-1.8625003854200866,-1.8625003854200866,-1.8625003854200866,0.0
15,-3.8833337227503457,-3.8833337227503457,-3.8833337227503457,0.0
16,0.3708331014495343,0.3708331014495343,0.3708331014495343,0.0
17,-4.441666841778594,-4.441666841778594,-4.441666841778594,0.0
18,2.987499812928339,2.987499812928339,2.987499812928339,0.0
19,-6.454166934321013,-6.454166934321013,-6.454166934321013,0.0
20,1.1833330747128155,1.1833330747128155,1.1833330747128155,0.0
21,1.1166665339066337,1.1166665339066337,1.1166665339066337,0.0
22,-2.46666688278007,-2.46666688278007,-2.46666688278007,0.0
23,-0.2375001747859642,-0.2375001747859642,-0.2375001747859642,0.0
24,-9.21666701436819,-9.21666701436819,-9.21666701436819,0.0
25,-1.0666670568753034,-1.0666670568753034,-1.0666670568753034,0.0
26,-9.800000417550715,-9.800000417550715,-9.800000417550715,0.0
27,-2.850000110028001,-2.850000110028001,-2.850000110028001,0.0
28,0.5833330719033256,0.5833330719033256,0.5833330719033256,0.0
29,-0.9708335783022145,-0.9708335783022145,-0.9708335783022145,0.0
30,-0.43333369652585435,-0.43333369652585435,-0.43333369652585435,0.0
31,-6.758333752048202,-6.758333752048202,-6.758333752048202,0.0
32,-0.7875003362617766,-0.7875003362617766,-0.7875003362617766,0.0
33,4.429166422303145,4.429166422303145,4.429166422303145,0.0
34,-6.925000156237123,-6.925000156237123,-6.925000156237123,0.0
35,1.5416665071388707,1.5416665071388707,1.5416665071388707,0.0
36,-4.475000048056245,-4.475000048056245,-4.475000048056245,0.0
37,-6.650000382680446,-6.650000382680446,-6.650000382680446,0.0
38,-5.566667069991429,-5.566667069991429,-5.566667069991429,0.0
39,-0.02500018524006009,-0.02500018524006009,-0.02500018524006009,0.0
