Generation,Min,Mean,Max,Std
-1,-27.65000106021762,-23.820000911597162,-17.000000874511898,2.9274733645296274
0,-30.100001165177673,-23.09083420531824,-3.6999999955296516,5.164772653553129
1,-49.00000193621963,-6.050000116818895,-2.3000000515021384,9.75975196932248
2,-50.35000203270465,-5.515833454323001,-2.4000000171363354,8.394658829574194
3,-50.30000199191272,-7.923333567768956,-2.4000000171363354,12.524195340501587
4,-47.300002133939415,-7.0191668642995255,-2.2500000493600965,10.30532306664914
5,-50.200002026278526,-4.472500085954865,-2.4000000171363354,8.273318051871769
6,-46.90000215545297,-6.004166827257722,-2.450000057928264,8.60840370843985
7,-50.20000206492841,-6.434166832795987,-2.4000000171363354,9.275350755783304
8,-27.500001015141606,-4.058333400256621,-2.4500000192783773,5.095391641872389
9,-46.80000207386911,-4.930833443432736,-2.400000055786222,7.496366623429913
10,-50.20000198762864,-5.493333463665719,-2.4000000171363354,9.335651002710307
11,-50.30000199191272,-6.080000155465678,-2.4000000171363354,9.798649125823324
12,-50.30000199191272,-11.45666702928332,-2.500000021420419,14.539734892008067
13,-50.30000199191272,-11.291667022858746,-2.599999987054616,13.315928281272859
14,-50.25000202842057,-8.581666900962592,-2.400000055786222,11.073444549890779
15,-50.30000199191272,-14.676667168495866,-2.2500000880099833,16.61823735136007
16,-50.30000199191272,-11.700000375594634,-2.500000021420419,14.17671273595795
17,-45.55000178841874,-4.69166676714085,-1.8500001095235348,7.3334576979559385
18,-50.30000199191272,-4.851666775951162,-2.3000000515021384,8.028153748535154
19,-50.30000203056261,-6.894166858300256,-2.4000000171363354,11.301977052236895
20,-50.30000199191272,-6.9075001915606355,-2.1500000450760126,9.739669393218675
21,-50.30000199191272,-5.9566668168486405,-2.4000000171363354,9.835749262280077
22,-50.30000199191272,-6.185000164473119,-2.4000000171363354,10.024733593629106
23,-29.500001100823283,-5.446666796932307,-2.3500000536441803,7.171581156465472
24,-50.200002026278526,-6.752500186208636,-2.3500000536441803,12.159315964101047
25,-48.95000205002725,-6.27916681971401,-2.4000000171363354,8.732240879845797
26,-45.10000180779025,-5.855000148403148,-2.3500000149942935,8.627841438335889
27,-50.20000198762864,-6.635833521606401,-2.2000000472180545,10.947001937759678
28,-50.30000199191272,-6.398333514031644,-2.4000000171363354,11.010014718803246
29,-50.30000199191272,-5.810000148407805,-2.3000000515021384,9.974968257757178
30,-50.30000199191272,-5.759166810320069,-2.3500000149942935,9.185135534519736
31,-45.55000178841874,-6.068333490231695,-2.3500000536441803,8.963384061091865
32,-48.800001927651465,-6.8233335161348805,-2.3000000515021384,10.236363170215867
33,-25.95000102603808,-4.4725000853107,-2.4000000171363354,5.654205342645577
34,-46.95000215759501,-4.960000125520552,-2.2000000858679414,8.749518486438328
35,-50.30000199191272,-6.729166852519848,-2.0000000772997737,9.546261836148496
36,-29.20000108797103,-4.602500099898316,-2.3500000149942935,6.327607935006124
37,-50.400001996196806,-5.592500136513263,-2.400000055786222,10.35737231298955
38,-50.25000202842057,-4.477500089389893,-2.4000000171363354,7.503657337090354
39,-49.40000195335597,-4.977500115319466,-2.3000000128522515,8.766643726743164
