Generation,Min,Mean,Max,Std
-1,-25.904167619883083,-25.904167619883083,-25.904167619883083,0.0
0,-19.683334029706504,-19.683334029706504,-19.683334029706504,0.0
1,-16.870833899554174,-16.870833899554174,-16.870833899554174,0.0
2,-3.458333334613902,-3.458333334613902,-3.458333334613902,0.0
3,-8.550000216191014,-8.550000216191014,-8.550000216191014,0.0
4,-11.05000032329311,-11.05000032329311,-11.05000032329311,0.0
5,-5.562500091424833,-5.562500091424833,-5.562500091424833,0.0
6,-10.08750028850045,-10.08750028850045,-10.08750028850045,0.0
7,-5.337500072123173,-5.337500072123173,-5.337500072123173,0.0
8,-8.350000201181198,-8.350000201181198,-8.350000201181198,0.0
9,-7.15416682305901,-7.15416682305901,-7.15416682305901,0.0
10,-12.9916670860257,-12.9916670860257,-12.9916670860257,0.0
11,-14.725000500058135,-14.725000500058135,-14.725000500058135,0.0
12,-3.1624999821651727,-3.1624999821651727,-3.1624999821651727,0.0
13,-3.9708333597906553,-3.9708333597906553,-3.9708333597906553,0.0
14,-12.162500374174366,-12.162500374174366,-12.162500374174366,0.0
15,-9.541666925341511,-9.541666925341511,-9.541666925341511,0.0
16,-12.72500040793481,-12.72500040793481,-12.72500040793481,0.0
17,-5.408333408491065,-5.408333408491065,-5.408333408491065,0.0
18,-8.729166884091683,-8.729166884091683,-8.729166884091683,0.0
19,-10.379166961220713,-10.379166961220713,-10.379166961220713,0.0
20,-8.479166876602298,-8.479166876602298,-8.479166876602298,0.0
21,-7.9541668541108566,-7.9541668541108566,-7.9541668541108566,0.0
22,-9.266666900676986,-9.266666900676986,-9.266666900676986,0.0
23,-9.066666908212937,-9.066666908212937,-9.066666908212937,0.0
24,-11.766667017441554,-11.766667017441554,-11.766667017441554,0.0
25,-8.6083335391401,-8.6083335391401,-8.6083335391401,0.0
26,-8.858333569175253,-8.858333569175253,-8.858333569175253,0.0
27,-9.108333567002168,-9.108333567002168,-9.108333567002168,0.0
28,-7.98333353168952,-7.98333353168952,-7.98333353168952,0.0
29,-8.004166859473722,-8.004166859473722,-8.004166859473722,0.0
30,-5.304166740582635,-5.304166740582635,-5.304166740582635,0.0
31,-7.104166817696144,-7.104166817696144,-7.104166817696144,0.0
32,-13.158333756611682,-13.158333756611682,-13.158333756611682,0.0
33,-9.466666912465977,-9.466666912465977,-9.466666912465977,0.0
34,-5.2166667497173576,-5.2166667497173576,-5.2166667497173576,0.0
35,-10.016666948911734,-10.016666948911734,-10.016666948911734,0.0
36,-7.3166668235789984,-7.3166668235789984,-7.3166668235789984,0.0
37,-8.666666891076602,-8.666666891076602,-8.666666891076602,0.0
38,-7.36666682572104,-7.36666682572104,-7.36666682572104,0.0
39,-9.587500263859207,-9.587500263859207,-9.587500263859207,0.0
