Generation,Min,Mean,Max,Std
-1,-22.804167490297306,-22.804167490297306,-22.804167490297306,0.0
0,-17.304167270776816,-17.304167270776816,-17.304167270776816,0.0
1,-10.279166969819926,-10.279166969819926,-10.279166969819926,0.0
2,-2.841666676957781,-2.841666676957781,-2.841666676957781,0.0
3,-6.395833466900513,-6.395833466900513,-6.395833466900513,0.0
4,-6.758333495313612,-6.758333495313612,-6.758333495313612,0.0
5,-8.754166936695887,-8.754166936695887,-8.754166936695887,0.0
6,-6.300000135903247,-6.300000135903247,-6.300000135903247,0.0
7,-8.633333585302656,-8.633333585302656,-8.633333585302656,0.0
8,-8.866666938294657,-8.866666938294657,-8.866666938294657,0.0
9,-8.558333620623065,-8.558333620623065,-8.558333620623065,0.0
10,-5.962500127886112,-5.962500127886112,-5.962500127886112,0.0
11,-7.991666894367275,-7.991666894367275,-7.991666894367275,0.0
12,-3.1500000041754297,-3.1500000041754297,-3.1500000041754297,0.0
13,-7.904166877735406,-7.904166877735406,-7.904166877735406,0.0
14,-4.958333431083399,-4.958333431083399,-4.958333431083399,0.0
15,-4.891666739014909,-4.891666739014909,-4.891666739014909,0.0
16,-8.608333587452458,-8.608333587452458,-8.608333587452458,0.0
17,-10.395833673692929,-10.395833673692929,-10.395833673692929,0.0
18,-8.15416690777056,-8.15416690777056,-8.15416690777056,0.0
19,-5.200000085557501,-5.200000085557501,-5.200000085557501,0.0
20,-9.416666958636293,-9.416666958636293,-9.416666958636293,0.0
21,-5.0208334240984795,-5.0208334240984795,-5.0208334240984795,0.0
22,-7.400000199132289,-7.400000199132289,-7.400000199132289,0.0
23,-8.53750023820127,-8.53750023820127,-8.53750023820127,0.0
24,-7.0166668590391055,-7.0166668590391055,-7.0166668590391055,0.0
25,-6.941666846163571,-6.941666846163571,-6.941666846163571,0.0
26,-4.454166755701105,-4.454166755701105,-4.454166755701105,0.0
27,-8.516666913637891,-8.516666913637891,-8.516666913637891,0.0
28,-2.8166666694451123,-2.8166666694451123,-2.8166666694451123,0.0
29,-4.38333340967074,-4.38333340967074,-4.38333340967074,0.0
30,-9.212500257456364,-9.212500257456364,-9.212500257456364,0.0
31,-5.545833491681454,-5.545833491681454,-5.545833491681454,0.0
32,-5.154166756702277,-5.154166756702277,-5.154166756702277,0.0
33,-7.995833541887502,-7.995833541887502,-7.995833541887502,0.0
34,-14.320833803193333,-14.320833803193333,-14.320833803193333,0.0
35,-3.1083333486070237,-3.1083333486070237,-3.1083333486070237,0.0
36,-5.283333451448319,-5.283333451448319,-5.283333451448319,0.0
37,-8.141666907235049,-8.141666907235049,-8.141666907235049,0.0
38,-2.8291666796430945,-2.8291666796430945,-2.8291666796430945,0.0
39,-10.904167012699569,-10.904167012699569,-10.904167012699569,0.0
