Generation,Min,Mean,Max,Std
-1,-25.666667625812504,-25.666667625812504,-25.666667625812504,0.0
0,-23.54166752511325,-23.54166752511325,-23.54166752511325,0.0
1,-17.904167270714726,-17.904167270714726,-17.904167270714726,0.0
2,-11.050000358722173,-11.050000358722173,-11.050000358722173,0.0
3,-12.429167113344496,-12.429167113344496,-12.429167113344496,0.0
4,-13.42083381927417,-13.42083381927417,-13.42083381927417,0.0
5,-13.737500464194454,-13.737500464194454,-13.737500464194454,0.0
6,-9.808333616315698,-9.808333616315698,-9.808333616315698,0.0
7,-10.987500362486267,-10.987500362486267,-10.987500362486267,0.0
8,-5.379166776003937,-5.379166776003937,-5.379166776003937,0.0
9,-15.937500571327595,-15.937500571327595,-15.937500571327595,0.0
10,-7.300000223602789,-7.300000223602789,-7.300000223602789,0.0
11,-15.562500581028871,-15.562500581028871,-15.562500581028871,0.0
12,-10.170833670495389,-10.170833670495389,-10.170833670495389,0.0
13,-12.441667104217535,-12.441667104217535,-12.441667104217535,0.0
14,-8.950000278418884,-8.950000278418884,-8.950000278418884,0.0
15,-9.987500319645429,-9.987500319645429,-9.987500319645429,0.0
16,-12.68750043209487,-12.68750043209487,-12.68750043209487,0.0
17,-10.466667013281645,-10.466667013281645,-10.466667013281645,0.0
18,-7.55000023454583,-7.55000023454583,-7.55000023454583,0.0
19,-12.170833714306355,-12.170833714306355,-12.170833714306355,0.0
20,-12.408333740585173,-12.408333740585173,-12.408333740585173,0.0
21,-4.287500069011003,-4.287500069011003,-4.287500069011003,0.0
22,-13.316667138482444,-13.316667138482444,-13.316667138482444,0.0
23,-7.754166913179991,-7.754166913179991,-7.754166913179991,0.0
24,-10.512500351799341,-10.512500351799341,-10.512500351799341,0.0
25,-7.983333583222702,-7.983333583222702,-7.983333583222702,0.0
26,-7.9333335714181885,-7.9333335714181885,-7.9333335714181885,0.0
27,-6.800000192752729,-6.800000192752729,-6.800000192752729,0.0
28,-17.52500064232542,-17.52500064232542,-17.52500064232542,0.0
29,-17.725000651126418,-17.725000651126418,-17.725000651126418,0.0
30,-18.83333404470856,-18.83333404470856,-18.83333404470856,0.0
31,-9.883333658178648,-9.883333658178648,-9.883333658178648,0.0
32,-12.829167098389007,-12.829167098389007,-12.829167098389007,0.0
33,-9.695833656587638,-9.695833656587638,-9.695833656587638,0.0
34,-10.250000350216093,-10.250000350216093,-10.250000350216093,0.0
35,-12.59583378082607,-12.59583378082607,-12.59583378082607,0.0
36,-9.841666976727234,-9.841666976727234,-9.841666976727234,0.0
37,-12.579167106887326,-12.579167106887326,-12.579167106887326,0.0
38,-11.054167041671462,-11.054167041671462,-11.054167041671462,0.0
39,-9.558333670021966,-9.558333670021966,-9.558333670021966,0.0
