Generation,Min,Mean,Max,Std
-1,-24.337500882878278,-24.337500882878278,-24.337500882878278,0.0
0,-21.866667453354847,-21.866667453354847,-21.866667453354847,0.0
1,-15.358333850861527,-15.358333850861527,-15.358333850861527,0.0
2,-8.766666895360686,-8.766666895360686,-8.766666895360686,0.0
3,-17.104167239662882,-17.104167239662882,-17.104167239662882,0.0
4,-13.983333775851255,-13.983333775851255,-13.983333775851255,0.0
5,-13.375000435781354,-13.375000435781354,-13.375000435781354,0.0
6,-10.333333622703018,-10.333333622703018,-10.333333622703018,0.0
7,-11.095833661810806,-11.095833661810806,-11.095833661810806,0.0
8,-14.370833805335375,-14.370833805335375,-14.370833805335375,0.0
9,-10.21666694781743,-10.21666694781743,-10.21666694781743,0.0
10,-11.72916700617255,-11.72916700617255,-11.72916700617255,0.0
11,-12.241667037790952,-12.241667037790952,-12.241667037790952,0.0
12,-7.691666913606848,-7.691666913606848,-7.691666913606848,0.0
13,-14.775000486096056,-14.775000486096056,-14.775000486096056,0.0
14,-6.091666787203091,-6.091666787203091,-6.091666787203091,0.0
15,-11.170833761648586,-11.170833761648586,-11.170833761648586,0.0
16,-12.6333338690456,-12.6333338690456,-12.6333338690456,0.0
17,-13.179167132591829,-13.179167132591829,-13.179167132591829,0.0
18,-7.704166888492182,-7.704166888492182,-7.704166888492182,0.0
19,-15.591667174866112,-15.591667174866112,-15.591667174866112,0.0
20,-8.00833353276054,-8.00833353276054,-8.00833353276054,0.0
21,-13.48750046636754,-13.48750046636754,-13.48750046636754,0.0
22,-8.10416692472063,-8.10416692472063,-8.10416692472063,0.0
23,-11.825000404807119,-11.825000404807119,-11.825000404807119,0.0
24,-13.250000440088721,-13.250000440088721,-13.250000440088721,0.0
25,-5.912500148289837,-5.912500148289837,-5.912500148289837,0.0
26,-10.570833668190366,-10.570833668190366,-10.570833668190366,0.0
27,-11.00416701376283,-11.00416701376283,-11.00416701376283,0.0
28,-12.991667127896411,-12.991667127896411,-12.991667127896411,0.0
29,-11.625000402447768,-11.625000402447768,-11.625000402447768,0.0
30,-12.441667043138295,-12.441667043138295,-12.441667043138295,0.0
31,-15.420833988464437,-15.420833988464437,-15.420833988464437,0.0
32,-13.095833805467313,-13.095833805467313,-13.095833805467313,0.0
33,-13.304167215246707,-13.304167215246707,-13.304167215246707,0.0
34,-10.158333685947582,-10.158333685947582,-10.158333685947582,0.0
35,-1.795833572008026,-1.795833572008026,-1.795833572008026,0.0
36,-6.316666902896638,-6.316666902896638,-6.316666902896638,0.0
37,-12.837500747138014,-12.837500747138014,-12.837500747138014,0.0
38,-10.404167065241685,-10.404167065241685,-10.404167065241685,0.0
39,-10.091667225079922,-10.091667225079922,-10.091667225079922,0.0
