Generation,Min,Mean,Max,Std
-1,-20.270834061317146,-20.270834061317146,-20.270834061317146,0.0
0,-21.22916741638134,-21.22916741638134,-21.22916741638134,0.0
1,-17.233333908642333,-17.233333908642333,-17.233333908642333,0.0
2,-14.012500437325798,-14.012500437325798,-14.012500437325798,0.0
3,-15.629167224785002,-15.629167224785002,-15.629167224785002,0.0
4,-10.312500291697992,-10.312500291697992,-10.312500291697992,0.0
5,-13.054167062936662,-13.054167062936662,-13.054167062936662,0.0
6,-9.645833596470766,-9.645833596470766,-9.645833596470766,0.0
7,-7.9750001818950595,-7.9750001818950595,-7.9750001818950595,0.0
8,-18.008334012702107,-18.008334012702107,-18.008334012702107,0.0
9,-10.554167010588571,-10.554167010588571,-10.554167010588571,0.0
10,-12.662500488882264,-12.662500488882264,-12.662500488882264,0.0
11,-17.42500065115746,-17.42500065115746,-17.42500065115746,0.0
12,-9.837500338985896,-9.837500338985896,-9.837500338985896,0.0
13,-9.762500297122946,-9.762500297122946,-9.762500297122946,0.0
14,-10.30416702242413,-10.30416702242413,-10.30416702242413,0.0
15,-7.941666975966655,-7.941666975966655,-7.941666975966655,0.0
16,-8.608333587452458,-8.608333587452458,-8.608333587452458,0.0
17,-11.41666701855138,-11.41666701855138,-11.41666701855138,0.0
18,-6.300000257828894,-6.300000257828894,-6.300000257828894,0.0
19,-12.483333798319412,-12.483333798319412,-12.483333798319412,0.0
20,-5.941666983456041,-5.941666983456041,-5.941666983456041,0.0
21,-14.358333808020689,-14.358333808020689,-14.358333808020689,0.0
22,-6.816666962850529,-6.816666962850529,-6.816666962850529,0.0
23,-12.750000579127422,-12.750000579127422,-12.750000579127422,0.0
24,-11.254167085435862,-11.254167085435862,-11.254167085435862,0.0
25,-14.162500504714748,-14.162500504714748,-14.162500504714748,0.0
26,-1.308333595865406,-1.308333595865406,-1.308333595865406,0.0
27,-21.20833420109314,-21.20833420109314,-21.20833420109314,0.0
28,-15.437500610753583,-15.437500610753583,-15.437500610753583,0.0
29,-4.366667089324134,-4.366667089324134,-4.366667089324134,0.0
30,-7.4416670346011715,-7.4416670346011715,-7.4416670346011715,0.0
31,-12.495833837621225,-12.495833837621225,-12.495833837621225,0.0
32,-12.154167451818163,-12.154167451818163,-12.154167451818163,0.0
33,-5.104167159103478,-5.104167159103478,-5.104167159103478,0.0
34,-11.108333839142384,-11.108333839142384,-11.108333839142384,0.0
35,-5.745833878909859,-5.745833878909859,-5.745833878909859,0.0
36,-11.06666718023674,-11.06666718023674,-11.06666718023674,0.0
37,2.654166210986053,2.654166210986053,2.654166210986053,0.0
38,-3.133333680491584,-3.133333680491584,-3.133333680491584,0.0
39,-1.5083335787833978,-1.5083335787833978,-1.5083335787833978,0.0
