Generation,Min,Mean,Max,Std
-1,-23.762500855023973,-23.762500855023973,-23.762500855023973,0.0
0,-24.470834228365373,-24.470834228365373,-24.470834228365373,0.0
1,-14.83333382192844,-14.83333382192844,-14.83333382192844,0.0
2,-11.204167035097877,-11.204167035097877,-11.204167035097877,0.0
3,-14.287500455548676,-14.287500455548676,-14.287500455548676,0.0
4,-10.075000281523293,-10.075000281523293,-10.075000281523293,0.0
5,-15.491667222115211,-15.491667222115211,-15.491667222115211,0.0
6,-10.837500349618495,-10.837500349618495,-10.837500349618495,0.0
7,-11.504167077053959,-11.504167077053959,-11.504167077053959,0.0
8,-13.604167221540896,-13.604167221540896,-13.604167221540896,0.0
9,-9.383333620654108,-9.383333620654108,-9.383333620654108,0.0
10,-15.100000561214983,-15.100000561214983,-15.100000561214983,0.0
11,-5.075000225023056,-5.075000225023056,-5.075000225023056,0.0
12,-7.833333734267701,-7.833333734267701,-7.833333734267701,0.0
13,-12.44166711710083,-12.44166711710083,-12.44166711710083,0.0
14,-15.220833880399974,-15.220833880399974,-15.220833880399974,0.0
15,-8.92916690876397,-8.92916690876397,-8.92916690876397,0.0
16,-9.016667018450486,-9.016667018450486,-9.016667018450486,0.0
17,-6.879166920436546,-6.879166920436546,-6.879166920436546,0.0
18,-7.008333605752948,-7.008333605752948,-7.008333605752948,0.0
19,-2.458333606715314,-2.458333606715314,-2.458333606715314,0.0
20,-7.645833773848911,-7.645833773848911,-7.645833773848911,0.0
21,-5.8583337974657,-5.8583337974657,-5.8583337974657,0.0
22,-11.495833980773265,-11.495833980773265,-11.495833980773265,0.0
23,-0.7216669774303833,-0.7216669774303833,-0.7216669774303833,0.0
24,-6.733333831381363,-6.733333831381363,-6.733333831381363,0.0
25,-10.520833711139858,-10.520833711139858,-10.520833711139858,0.0
26,-4.50416706634375,-4.50416706634375,-4.50416706634375,0.0
27,-8.808333836767511,-8.808333836767511,-8.808333836767511,0.0
28,-7.9041671601201715,-7.9041671601201715,-7.9041671601201715,0.0
29,-5.154166894964874,-5.154166894964874,-5.154166894964874,0.0
30,-7.3458337869960815,-7.3458337869960815,-7.3458337869960815,0.0
31,-10.429167165809,-10.429167165809,-10.429167165809,0.0
32,-11.65416717940631,-11.65416717940631,-11.65416717940631,0.0
33,-5.012500540042917,-5.012500540042917,-5.012500540042917,0.0
34,-7.091666833148338,-7.091666833148338,-7.091666833148338,0.0
35,-3.5833337479659044,-3.5833337479659044,-3.5833337479659044,0.0
36,-14.120833833275052,-14.120833833275052,-14.120833833275052,0.0
37,-2.0958336233937493,-2.0958336233937493,-2.0958336233937493,0.0
38,-6.570833660739784,-6.570833660739784,-6.570833660739784,0.0
39,-13.65416721724129,-13.65416721724129,-13.65416721724129,0.0
