Generation,Min,Mean,Max,Std
-1,-20.17083405381224,-20.17083405381224,-20.17083405381224,0.0
0,-21.60000077204313,-21.60000077204313,-21.60000077204313,0.0
1,-14.408333797279434,-14.408333797279434,-14.408333797279434,0.0
2,-15.204167167927759,-15.204167167927759,-15.204167167927759,0.0
3,-9.858333592691148,-9.858333592691148,-9.858333592691148,0.0
4,-7.525000188383274,-7.525000188383274,-7.525000188383274,0.0
5,-11.345833672521016,-11.345833672521016,-11.345833672521016,0.0
6,-11.07916704918413,-11.07916704918413,-11.07916704918413,0.0
7,-3.637500333444526,-3.637500333444526,-3.637500333444526,0.0
8,-11.583333942651128,-11.583333942651128,-11.583333942651128,0.0
9,-10.35000040269612,-10.35000040269612,-10.35000040269612,0.0
10,-14.67500053322874,-14.67500053322874,-14.67500053322874,0.0
11,-4.637500372948125,-4.637500372948125,-4.637500372948125,0.0
12,-4.045833732467145,-4.045833732467145,-4.045833732467145,0.0
13,-12.575000568642281,-12.575000568642281,-12.575000568642281,0.0
14,-9.450000428323014,-9.450000428323014,-9.450000428323014,0.0
15,-8.28333384039191,-8.28333384039191,-8.28333384039191,0.0
16,-8.600000424116539,-8.600000424116539,-8.600000424116539,0.0
17,1.412499710257786,1.412499710257786,1.412499710257786,0.0
18,-1.3125003654276952,-1.3125003654276952,-1.3125003654276952,0.0
19,-5.866667099064216,-5.866667099064216,-5.866667099064216,0.0
20,-10.279167140407177,-10.279167140407177,-10.279167140407177,0.0
21,-6.78333390748594,-6.78333390748594,-6.78333390748594,0.0
22,-4.920833577285521,-4.920833577285521,-4.920833577285521,0.0
23,-1.7416671275471647,-1.7416671275471647,-1.7416671275471647,0.0
24,-6.5250007269981625,-6.5250007269981625,-6.5250007269981625,0.0
25,-0.4500003547097246,-0.4500003547097246,-0.4500003547097246,0.0
26,-6.325000563597617,-6.325000563597617,-6.325000563597617,0.0
27,-14.22500060723784,-14.22500060723784,-14.22500060723784,0.0
28,-13.891667176115638,-13.891667176115638,-13.891667176115638,0.0
29,-12.183333978483764,-12.183333978483764,-12.183333978483764,0.0
30,-1.5833338036512334,-1.5833338036512334,-1.5833338036512334,0.0
31,-3.7083338042721152,-3.7083338042721152,-3.7083338042721152,0.0
32,-0.4458337060253446,-0.4458337060253446,-0.4458337060253446,0.0
33,-4.166667260889274,-4.166667260889274,-4.166667260889274,0.0
34,-6.438125533750281,-6.438125533750281,-6.438125533750281,0.0
35,-10.37083413490715,-10.37083413490715,-10.37083413490715,0.0
36,2.4862495525740087,2.4862495525740087,2.4862495525740087,0.0
37,-5.8291671357583255,-5.8291671357583255,-5.8291671357583255,0.0
38,-6.937500583861644,-6.937500583861644,-6.937500583861644,0.0
39,-5.1625005752236275,-5.1625005752236275,-5.1625005752236275,0.0
