Generation,Min,Mean,Max,Std
-1,-24.970834243344143,-24.970834243344143,-24.970834243344143,0.0
0,-22.229167465663824,-22.229167465663824,-22.229167465663824,0.0
1,-15.270833837450482,-15.270833837450482,-15.270833837450482,0.0
2,-15.254167243915921,-15.254167243915921,-15.254167243915921,0.0
3,-18.20833395041215,-18.20833395041215,-18.20833395041215,0.0
4,-9.479167003068142,-9.479167003068142,-9.479167003068142,0.0
5,-7.958333553164266,-7.958333553164266,-7.958333553164266,0.0
6,-10.150000278294707,-10.150000278294707,-10.150000278294707,0.0
7,-15.683333845459856,-15.683333845459856,-15.683333845459856,0.0
8,-5.737500137571867,-5.737500137571867,-5.737500137571867,0.0
9,-11.595833683231225,-11.595833683231225,-11.595833683231225,0.0
10,-9.791666987584904,-9.791666987584904,-9.791666987584904,0.0
11,-15.566667260757336,-15.566667260757336,-15.566667260757336,0.0
12,-10.775000334057646,-10.775000334057646,-10.775000334057646,0.0
13,-8.17083379048078,-8.17083379048078,-8.17083379048078,0.0
14,-11.825000475548828,-11.825000475548828,-11.825000475548828,0.0
15,-6.191666984154533,-6.191666984154533,-6.191666984154533,0.0
16,-9.908333848812617,-9.908333848812617,-9.908333848812617,0.0
17,-6.245833559970682,-6.245833559970682,-6.245833559970682,0.0
18,-11.791667089137869,-11.791667089137869,-11.791667089137869,0.0
19,-11.612500447003791,-11.612500447003791,-11.612500447003791,0.0
20,-16.491667425531585,-16.491667425531585,-16.491667425531585,0.0
21,-6.537500553842013,-6.537500553842013,-6.537500553842013,0.0
22,-9.191667449932234,-9.191667449932234,-9.191667449932234,0.0
23,-10.875000653051151,-10.875000653051151,-10.875000653051151,0.0
24,-9.700000619050115,-9.700000619050115,-9.700000619050115,0.0
25,-8.262500656962706,-8.262500656962706,-8.262500656962706,0.0
26,-2.4125004446444414,-2.4125004446444414,-2.4125004446444414,0.0
27,0.5583330188334609,0.5583330188334609,0.5583330188334609,0.0
28,-2.9041671289208657,-2.9041671289208657,-2.9041671289208657,0.0
29,-8.254167229984887,-8.254167229984887,-8.254167229984887,0.0
30,-3.106250594564093,-3.106250594564093,-3.106250594564093,0.0
31,-2.8208338051335886,-2.8208338051335886,-2.8208338051335886,0.0
32,-6.245833833042222,-6.245833833042222,-6.245833833042222,0.0
33,-11.200000728053661,-11.200000728053661,-11.200000728053661,0.0
34,-7.183333834672037,-7.183333834672037,-7.183333834672037,0.0
35,-5.062500387818242,-5.062500387818242,-5.062500387818242,0.0
36,-8.350000554540506,-8.350000554540506,-8.350000554540506,0.0
37,1.6958329366752878,1.6958329366752878,1.6958329366752878,0.0
38,-1.2583338732365519,-1.2583338732365519,-1.2583338732365519,0.0
39,-10.029167232181257,-10.029167232181257,-10.029167232181257,0.0
