Generation,Min,Mean,Max,Std
-1,-22.345834134107765,-22.345834134107765,-22.345834134107765,0.0
0,-20.525000729210053,-20.525000729210053,-20.525000729210053,0.0
1,-15.59166717164529,-15.59166717164529,-15.59166717164529,0.0
2,-13.645833754950823,-13.645833754950823,-13.645833754950823,0.0
3,-12.341667035633387,-12.341667035633387,-12.341667035633387,0.0
4,-14.145833802137835,-14.145833802137835,-14.145833802137835,0.0
5,-12.36666704636688,-12.36666704636688,-12.36666704636688,0.0
6,-9.629166929090085,-9.629166929090085,-9.629166929090085,0.0
7,-18.125000629612867,-18.125000629612867,-18.125000629612867,0.0
8,-12.266667042082796,-12.266667042082796,-12.266667042082796,0.0
9,-6.4958334937303635,-6.4958334937303635,-6.4958334937303635,0.0
10,-13.391667119266154,-13.391667119266154,-13.391667119266154,0.0
11,-6.233333495135109,-6.233333495135109,-6.233333495135109,0.0
12,-11.166667062595176,-11.166667062595176,-11.166667062595176,0.0
13,-7.0916668686938165,-7.0916668686938165,-7.0916668686938165,0.0
14,-14.120833836495876,-14.120833836495876,-14.120833836495876,0.0
15,-14.233333825211352,-14.233333825211352,-14.233333825211352,0.0
16,-9.779167006374337,-9.779167006374337,-9.779167006374337,0.0
17,-15.43750052091976,-15.43750052091976,-15.43750052091976,0.0
18,-8.141666910455873,-8.141666910455873,-8.141666910455873,0.0
19,-5.929166793008335,-5.929166793008335,-5.929166793008335,0.0
20,-7.287500274600461,-7.287500274600461,-7.287500274600461,0.0
21,-9.204167032808376,-9.204167032808376,-9.204167032808376,0.0
22,-12.970833767903969,-12.970833767903969,-12.970833767903969,0.0
23,-4.070833486116801,-4.070833486116801,-4.070833486116801,0.0
24,-12.883333821664564,-12.883333821664564,-12.883333821664564,0.0
25,-3.65416675984549,-3.65416675984549,-3.65416675984549,0.0
26,-7.125000155142819,-7.125000155142819,-7.125000155142819,0.0
27,-8.354166948430551,-8.354166948430551,-8.354166948430551,0.0
28,-3.491666875158747,-3.491666875158747,-3.491666875158747,0.0
29,-6.825000296657284,-6.825000296657284,-6.825000296657284,0.0
30,-4.975000159543318,-4.975000159543318,-4.975000159543318,0.0
31,-6.51250021896946,-6.51250021896946,-6.51250021896946,0.0
32,-6.28750030871015,-6.28750030871015,-6.28750030871015,0.0
33,-11.662500426832898,-11.662500426832898,-11.662500426832898,0.0
34,-8.858333601383492,-8.858333601383492,-8.858333601383492,0.0
35,-6.245833859274474,-6.245833859274474,-6.245833859274474,0.0
36,-19.03333400830161,-19.03333400830161,-19.03333400830161,0.0
37,-6.870833641500212,-6.870833641500212,-6.870833641500212,0.0
38,-8.295833859786702,-8.295833859786702,-8.295833859786702,0.0
39,-9.683333957645422,-9.683333957645422,-9.683333957645422,0.0
