Generation,Min,Mean,Max,Std
-1,-27.950001150369644,-21.360000821668656,-5.600000076927245,5.8613482240269414
0,-30.20000124676153,-18.55416736813107,-3.599999991245568,6.2848450454294795
1,-49.30000198772177,-15.725833902655479,-3.0999999698251486,9.867377201265278
2,-46.20000185491517,-15.576667250188377,7.649999527260661,12.574251540191174
3,-46.60000198800117,-12.699167114698017,-1.9000001889653504,11.112664024587867
4,-45.90000211261213,-9.563333688202935,-0.9000004166737199,10.325244020885762
5,-30.400001139380038,-7.675833667775927,12.849999207537621,10.26635508676865
6,-49.2500020628795,-10.739167120866478,15.849999065510929,13.121678083751808
7,-48.90000193193555,-8.613333680356542,7.849999651778489,10.785379673280334
8,-49.60000203922391,-9.785833799350076,19.349999023601413,13.561026315774187
9,-49.40000195335597,-6.4750004656845705,20.14999913657084,13.867169173600887
10,-49.600001961924136,-11.255833954441671,19.699999038595706,16.809130118314357
11,-46.0000021555461,-7.219167248338151,17.449999135453254,15.212426885853853
12,-46.750002110376954,-8.827500604931265,20.699999161530286,15.852651059742222
13,-49.50000195764005,-9.291667262425957,18.149999126791954,16.973030874523392
14,-49.45000207144767,-8.028333958090904,21.19999890960753,16.859721482808386
15,-49.50000199628994,-5.058333735587075,17.599999259226024,13.424400136028853
16,-50.20000198762864,-8.335000520727286,17.59999914187938,14.162172021010338
17,-48.00000208662823,-9.670834042791588,20.949999093543738,18.183892657807743
18,-48.8000021209009,-4.825833834994895,18.599999147467315,14.863113092473297
19,-49.10000194050372,-6.497500672959722,36.94999846769497,18.979007130691073
20,-50.100001983344555,-9.948334031715058,27.849998888093978,19.632246294900824
21,-47.800002039410174,-7.886667259565244,28.299998791422695,15.772800826679703
22,-31.600001190789044,-3.051667091033111,37.89999862713739,12.806554263745944
23,-49.8000019704923,-5.925000634742901,25.4999990593642,18.520602509368164
24,-49.90000197477639,-7.043333908023002,21.39999887952581,16.02332042759202
25,-48.6000019190833,-9.903333991323597,24.69999875035137,18.653965284111752
26,-50.400001996196806,-8.736667470564134,26.899999003391713,22.842794409634084
27,-49.800002086441964,-5.096667343657463,33.14999861409888,20.414757665881588
28,-39.40000160224736,-1.4308339497384925,35.249998666811734,16.61635014216127
29,-49.900002013426274,-7.045000684082819,34.449998632539064,19.665150626989846
30,-48.90000193193555,-3.595000750090306,34.399998317006975,20.783227860491426
31,-48.6000019190833,-3.2741674108585963,38.59999850112945,21.294382176313928
32,-50.000002056360245,-7.111667312239296,29.299999070353806,20.01911489740605
33,-50.000002056360245,-1.019167416046063,43.499998287297785,22.33663859604866
34,-49.60000203922391,-8.84479232771167,34.099998344201595,19.22720633759225
35,-50.400001996196806,-6.257500705487716,35.79999861307442,20.097752538542267
36,-50.100001983344555,-2.9833341802936046,38.799998588394374,22.923319194192405
37,-27.800001027993858,-5.097500610219625,35.899998617358506,16.899332926935728
38,-47.20000205235556,-0.08833403030099968,51.149998154025525,19.185368424438643
39,-40.000002053100616,-0.07666748966245601,44.299998321570456,22.784770876402654
