Generation,Min,Mean,Max,Std
-1,-24.87083426482665,-24.87083426482665,-24.87083426482665,0.0
0,-19.3791673789965,-19.3791673789965,-19.3791673789965,0.0
1,-21.94166745012626,-21.94166745012626,-21.94166745012626,0.0
2,-13.81250044486175,-13.81250044486175,-13.81250044486175,0.0
3,-12.408333734143525,-12.408333734143525,-12.408333734143525,0.0
4,-9.354166952737918,-9.354166952737918,-9.354166952737918,0.0
5,-12.616667079622857,-12.616667079622857,-12.616667079622857,0.0
6,-11.820833696091237,-11.820833696091237,-11.820833696091237,0.0
7,-13.791667155727433,-13.791667155727433,-13.791667155727433,0.0
8,-13.766667177085765,-13.766667177085765,-13.766667177085765,0.0
9,-12.533333720173687,-12.533333720173687,-12.533333720173687,0.0
10,-9.112500333460048,-9.112500333460048,-9.112500333460048,0.0
11,-10.108333812405666,-10.108333812405666,-10.108333812405666,0.0
12,-14.41666720493231,-14.41666720493231,-14.41666720493231,0.0
13,-8.916667069269655,-8.916667069269655,-8.916667069269655,0.0
14,-15.000000656776441,-15.000000656776441,-15.000000656776441,0.0
15,-13.904167234625978,-13.904167234625978,-13.904167234625978,0.0
16,-11.550000556938661,-11.550000556938661,-11.550000556938661,0.0
17,-10.954167146778977,-10.954167146778977,-10.954167146778977,0.0
18,-10.970833900772655,-10.970833900772655,-10.970833900772655,0.0
19,-12.941667476242097,-12.941667476242097,-12.941667476242097,0.0
20,-17.604167283629067,-17.604167283629067,-17.604167283629067,0.0
21,-13.850000610497469,-13.850000610497469,-13.850000610497469,0.0
22,-8.854167294455692,-8.854167294455692,-8.854167294455692,0.0
23,-7.358333704255831,-7.358333704255831,-7.358333704255831,0.0
24,-4.175000253870773,-4.175000253870773,-4.175000253870773,0.0
25,-14.829167335100161,-14.829167335100161,-14.829167335100161,0.0
26,-7.59166720804448,-7.59166720804448,-7.59166720804448,0.0
27,-15.525000527889157,-15.525000527889157,-15.525000527889157,0.0
28,-10.654167172227366,-10.654167172227366,-10.654167172227366,0.0
29,-7.479166972140471,-7.479166972140471,-7.479166972140471,0.0
30,-8.866667192506915,-8.866667192506915,-8.866667192506915,0.0
31,-8.904167286702432,-8.904167286702432,-8.904167286702432,0.0
32,-7.704166991558547,-7.704166991558547,-7.704166991558547,0.0
33,-16.641667287253465,-16.641667287253465,-16.641667287253465,0.0
34,-7.050000521509598,-7.050000521509598,-7.050000521509598,0.0
35,-9.90000043793892,-9.90000043793892,-9.90000043793892,0.0
36,-11.212500429867456,-11.212500429867456,-11.212500429867456,0.0
37,-12.68750068320272,-12.68750068320272,-12.68750068320272,0.0
38,-10.691667174183143,-10.691667174183143,-10.691667174183143,0.0
39,-7.308333721438733,-7.308333721438733,-7.308333721438733,0.0
