Generation,Min,Mean,Max,Std
-1,-24.445834227294352,-24.445834227294352,-24.445834227294352,0.0
0,-23.1541675052916,-23.1541675052916,-23.1541675052916,0.0
1,-17.920833954199527,-17.920833954199527,-17.920833954199527,0.0
2,-14.74583380529657,-14.74583380529657,-14.74583380529657,0.0
3,-14.445833789223494,-14.445833789223494,-14.445833789223494,0.0
4,-8.05000019154977,-8.05000019154977,-8.05000019154977,0.0
5,-9.516667101182975,-9.516667101182975,-9.516667101182975,0.0
6,-6.637500278729324,-6.637500278729324,-6.637500278729324,0.0
7,-9.616667323784592,-9.616667323784592,-9.616667323784592,0.0
8,-8.708333916341266,-8.708333916341266,-8.708333916341266,0.0
9,-4.350000383060736,-4.350000383060736,-4.350000383060736,0.0
10,-11.191667237241441,-11.191667237241441,-11.191667237241441,0.0
11,-2.1375004711638517,-2.1375004711638517,-2.1375004711638517,0.0
12,-13.125000652701905,-13.125000652701905,-13.125000652701905,0.0
13,-0.35416707454714924,-0.35416707454714924,-0.35416707454714924,0.0
14,-9.033333840197884,-9.033333840197884,-9.033333840197884,0.0
15,-5.2208338209893554,-5.2208338209893554,-5.2208338209893554,0.0
16,-7.250000510869238,-7.250000510869238,-7.250000510869238,0.0
17,-1.1875003636426602,-1.1875003636426602,-1.1875003636426602,0.0
18,-4.983333865335832,-4.983333865335832,-4.983333865335832,0.0
19,-6.183333913756845,-6.183333913756845,-6.183333913756845,0.0
20,0.12083292612805963,0.12083292612805963,0.12083292612805963,0.0
21,-4.608333827306827,-4.608333827306827,-4.608333827306827,0.0
22,-3.866667211909468,-3.866667211909468,-3.866667211909468,0.0
23,-8.408333903372599,-8.408333903372599,-8.408333903372599,0.0
24,-5.313125806938236,-5.313125806938236,-5.313125806938236,0.0
25,-11.562500756699592,-11.562500756699592,-11.562500756699592,0.0
26,-12.216667438508011,-12.216667438508011,-12.216667438508011,0.0
27,-9.262500780207725,-9.262500780207725,-9.262500780207725,0.0
28,-6.8250003386444105,-6.8250003386444105,-6.8250003386444105,0.0
29,-10.89583411909795,-10.89583411909795,-10.89583411909795,0.0
30,-10.883334051274383,-10.883334051274383,-10.883334051274383,0.0
31,-8.000000652042218,-8.000000652042218,-8.000000652042218,0.0
32,1.7833328791117917,1.7833328791117917,1.7833328791117917,0.0
33,-8.933334077009931,-8.933334077009931,-8.933334077009931,0.0
34,-4.975000673361744,-4.975000673361744,-4.975000673361744,0.0
35,-12.508334159074971,-12.508334159074971,-12.508334159074971,0.0
36,-8.879167211785292,-8.879167211785292,-8.879167211785292,0.0
37,-7.16250059074567,-7.16250059074567,-7.16250059074567,0.0
38,-9.675000524808032,-9.675000524808032,-9.675000524808032,0.0
39,-1.745833810380039,-1.745833810380039,-1.745833810380039,0.0
