Generation,Min,Mean,Max,Std
-1,-25.658334276018042,-25.658334276018042,-25.658334276018042,0.0
0,-17.741667305507388,-17.741667305507388,-17.741667305507388,0.0
1,-15.520833835277395,-15.520833835277395,-15.520833835277395,0.0
2,-13.841667109557116,-13.841667109557116,-13.841667109557116,0.0
3,-21.895834114829388,-21.895834114829388,-21.895834114829388,0.0
4,-14.216667295744022,-14.216667295744022,-14.216667295744022,0.0
5,-12.625000410092374,-12.625000410092374,-12.625000410092374,0.0
6,-12.787500468470776,-12.787500468470776,-12.787500468470776,0.0
7,-4.09583356747559,-4.09583356747559,-4.09583356747559,0.0
8,-8.254167030875882,-8.254167030875882,-8.254167030875882,0.0
9,-7.833333512380098,-7.833333512380098,-7.833333512380098,0.0
10,-9.94583379267715,-9.94583379267715,-9.94583379267715,0.0
11,-6.895833938188541,-6.895833938188541,-6.895833938188541,0.0
12,-2.6666670325988284,-2.6666670325988284,-2.6666670325988284,0.0
13,-13.720833986493139,-13.720833986493139,-13.720833986493139,0.0
14,-4.7041670778999105,-4.7041670778999105,-4.7041670778999105,0.0
15,-8.395833645869667,-8.395833645869667,-8.395833645869667,0.0
16,-13.26666735477435,-13.26666735477435,-13.26666735477435,0.0
17,-3.7125001887325197,-3.7125001887325197,-3.7125001887325197,0.0
18,-2.7166669635334983,-2.7166669635334983,-2.7166669635334983,0.0
19,-6.270833882309186,-6.270833882309186,-6.270833882309186,0.0
20,-6.262500558164902,-6.262500558164902,-6.262500558164902,0.0
21,-6.570833805444029,-6.570833805444029,-6.570833805444029,0.0
22,-8.320833857986145,-8.320833857986145,-8.320833857986145,0.0
23,-8.86666724679526,-8.86666724679526,-8.86666724679526,0.0
24,-19.129167561070062,-19.129167561070062,-19.129167561070062,0.0
25,-3.6541670682296776,-3.6541670682296776,-3.6541670682296776,0.0
26,-3.7083337696579597,-3.7083337696579597,-3.7083337696579597,0.0
27,-3.970833655175132,-3.970833655175132,-3.970833655175132,0.0
28,-5.966667064931244,-5.966667064931244,-5.966667064931244,0.0
29,-6.066667052529131,-6.066667052529131,-6.066667052529131,0.0
30,-5.700000624366415,-5.700000624366415,-5.700000624366415,0.0
31,-5.166666998450334,-5.166666998450334,-5.166666998450334,0.0
32,1.7833329876884818,1.7833329876884818,1.7833329876884818,0.0
33,-2.9208337808959186,-2.9208337808959186,-2.9208337808959186,0.0
34,-8.095833886647597,-8.095833886647597,-8.095833886647597,0.0
35,-2.22500043339096,-2.22500043339096,-2.22500043339096,0.0
36,-9.275000623039281,-9.275000623039281,-9.275000623039281,0.0
37,-7.033333741749327,-7.033333741749327,-7.033333741749327,0.0
38,-12.175000599818304,-12.175000599818304,-12.175000599818304,0.0
39,-6.408333936744991,-6.408333936744991,-6.408333936744991,0.0
