Generation,Min,Mean,Max,Std
-1,-30.600001147948205,-19.845000691059976,-3.3999999826774,10.928597130656136
0,-31.00000116508454,-18.450833967886865,-3.9000000040978193,7.530413613012937
1,-47.6500018783845,-16.976667236133167,-3.6999999955296516,9.649859937456082
2,-50.100001983344555,-13.111667071197493,-3.2999999783933163,11.202114740560852
3,-50.600002004764974,-11.074166987774273,-3.2999999783933163,10.927258017976145
4,-50.350001994054765,-11.674167008325458,-3.2499999762512743,10.461857722662186
5,-50.70000200904906,-11.208333656323763,-3.1999999741092324,10.70570441684406
6,-48.90000193193555,-11.582500347394186,-0.9000001074746251,10.872786917017756
7,-50.70000200904906,-11.021667020907625,3.199999681673944,11.663588281016553
8,-30.20000113081187,-9.793333618870626,2.0999997118487954,8.939283837032217
9,-50.50000200048089,-11.221667015350734,3.399999651592225,12.165530240856677
10,-50.70000200904906,-9.949166983265119,3.8499995935708284,11.060935778363095
11,-50.30000199191272,-9.225833640798616,5.299999657087028,12.10587192880948
12,-50.70000200904906,-10.773333743858773,8.599999606609344,14.0437697758221
13,-32.00000120792538,-9.815833655240324,3.8499996322207153,10.385485016629694
14,-50.45000199833885,-10.123333692892144,4.299999612849206,12.101975019880236
15,-50.70000200904906,-11.902500402236667,6.449999746400863,13.261352340563663
16,-50.70000200904906,-11.710000372111487,4.249999768100679,11.199798809010476
17,-50.600002004764974,-9.189167037575196,19.199998899828643,12.62226602753531
18,-49.8000019704923,-9.464166959980503,6.299999622628093,11.029453770176612
19,-50.100001983344555,-10.447500311008964,3.8999995570629835,10.190455207696075
20,-50.600002004764974,-9.598333731316961,19.049999049399048,13.967435579490006
21,-50.70000200904906,-11.233333673498903,1.7499995809048414,13.133674402746692
22,-50.00000197906047,-11.38166707099881,19.49999922607094,12.522556616505721
23,-50.70000200904906,-9.591667036735453,20.399999069981277,13.784693515972252
24,-49.600001961924136,-6.584167062141932,22.59999912697822,13.53713578295653
25,-50.30000199191272,-11.491667070581267,13.89999933121726,13.829597869658528
26,-50.20000198762864,-8.155000361939893,21.49999892245978,13.65187654275361
27,-49.40000195335597,-10.061667168031757,29.499998844228685,16.387112532844775
28,-49.50000195764005,-7.623333688965067,27.69999872567132,13.692986492898894
29,-30.900001160800457,-4.604167014655347,26.599998911842704,13.181983604463959
30,-50.30000199191272,-8.486667101845766,25.449998979922384,14.840799471580318
31,-50.400001996196806,-7.1783337142784145,25.499998942017555,14.847212037345166
32,-50.20000198762864,-7.330000485976537,26.94999873219058,17.19782513531566
33,-49.00000193621963,-5.758333667685899,22.39999896241352,13.389819647034807
34,-32.400001225061715,-8.855458805942908,28.499998761340976,14.718962125610659
35,-28.40000105369836,-5.304166834351296,27.349998945370317,8.942838477274755
36,-49.10000194050372,-6.224167181528173,31.649998511187732,18.37319505215547
37,-46.65000183554366,-5.6383335873407,22.44999896455556,11.723418223933551
38,-48.800001927651465,-6.140458684484474,34.64999867975712,13.609935633244799
39,-50.20000198762864,-9.204166995012201,15.899999537039548,13.421749859097762
