Generation,Min,Mean,Max,Std
-1,-23.49166751008791,-23.49166751008791,-23.49166751008791,0.0
0,-19.150000663862254,-19.150000663862254,-19.150000663862254,0.0
1,-17.250000579243835,-17.250000579243835,-17.250000579243835,0.0
2,-7.966666925388078,-7.966666925388078,-7.966666925388078,0.0
3,-9.950000318038898,-9.950000318038898,-9.950000318038898,0.0
4,-8.22083361594317,-8.22083361594317,-8.22083361594317,0.0
5,-6.983333578915335,-6.983333578915335,-6.983333578915335,0.0
6,-15.375000531125503,-15.375000531125503,-15.375000531125503,0.0
7,-10.079167076968588,-10.079167076968588,-10.079167076968588,0.0
8,-5.041666880599223,-5.041666880599223,-5.041666880599223,0.0
9,-6.645833638419087,-6.645833638419087,-6.645833638419087,0.0
10,-7.450000339420512,-7.450000339420512,-7.450000339420512,0.0
11,-9.779166990270218,-9.779166990270218,-9.779166990270218,0.0
12,-13.129167165762434,-13.129167165762434,-13.129167165762434,0.0
13,-5.787500351589794,-5.787500351589794,-5.787500351589794,0.0
14,-10.783333792894458,-10.783333792894458,-10.783333792894458,0.0
15,-10.891667015384883,-10.891667015384883,-10.891667015384883,0.0
16,-5.00416703921898,-5.00416703921898,-5.00416703921898,0.0
17,-1.0583336239214987,-1.0583336239214987,-1.0583336239214987,0.0
18,-3.7625001813285053,-3.7625001813285053,-3.7625001813285053,0.0
19,-14.629167214035988,-14.629167214035988,-14.629167214035988,0.0
20,-5.875000451846669,-5.875000451846669,-5.875000451846669,0.0
21,-14.695833909208886,-14.695833909208886,-14.695833909208886,0.0
22,-2.416666899730141,-2.416666899730141,-2.416666899730141,0.0
23,-8.345833662936153,-8.345833662936153,-8.345833662936153,0.0
24,2.5083330284105614,2.5083330284105614,2.5083330284105614,0.0
25,-7.19583364277302,-7.19583364277302,-7.19583364277302,0.0
26,-13.94166717825768,-13.94166717825768,-13.94166717825768,0.0
27,-9.291667345290383,-9.291667345290383,-9.291667345290383,0.0
28,-5.525000260056307,-5.525000260056307,-5.525000260056307,0.0
29,-4.404166824300773,-4.404166824300773,-4.404166824300773,0.0
30,-4.7666670168594765,-4.7666670168594765,-4.7666670168594765,0.0
31,-8.529167142502653,-8.529167142502653,-8.529167142502653,0.0
32,-1.7000003821449354,-1.7000003821449354,-1.7000003821449354,0.0
33,-8.308334130289344,-8.308334130289344,-8.308334130289344,0.0
34,-13.304167606673824,-13.304167606673824,-13.304167606673824,0.0
35,-4.937500424217433,-4.937500424217433,-4.937500424217433,0.0
36,-1.5916669606619205,-1.5916669606619205,-1.5916669606619205,0.0
37,-2.5166670938100046,-2.5166670938100046,-2.5166670938100046,0.0
38,-3.7750002301763743,-3.7750002301763743,-3.7750002301763743,0.0
39,-2.612500366716025,-2.612500366716025,-2.612500366716025,0.0
