Generation,Min,Mean,Max,Std
-1,-21.112500760820694,-21.112500760820694,-21.112500760820694,0.0
0,-21.075000743110042,-21.075000743110042,-21.075000743110042,0.0
1,-20.85000076245827,-20.85000076245827,-20.85000076245827,0.0
2,-16.641667239173938,-16.641667239173938,-16.641667239173938,0.0
3,-18.66250063975652,-18.66250063975652,-18.66250063975652,0.0
4,-21.295834130995598,-21.295834130995598,-21.295834130995598,0.0
5,-5.9708334841222195,-5.9708334841222195,-5.9708334841222195,0.0
6,-19.295834048534743,-19.295834048534743,-19.295834048534743,0.0
7,-6.433333507156931,-6.433333507156931,-6.433333507156931,0.0
8,-11.604167042688156,-11.604167042688156,-11.604167042688156,0.0
9,-10.754167090014866,-10.754167090014866,-10.754167090014866,0.0
10,-8.070833564425508,-8.070833564425508,-8.070833564425508,0.0
11,-9.375000447888548,-9.375000447888548,-9.375000447888548,0.0
12,-9.483333776084086,-9.483333776084086,-9.483333776084086,0.0
13,-7.270833758016427,-7.270833758016427,-7.270833758016427,0.0
14,-4.266667075726825,-4.266667075726825,-4.266667075726825,0.0
15,-6.170833717798814,-6.170833717798814,-6.170833717798814,0.0
16,-16.816667423467152,-16.816667423467152,-16.816667423467152,0.0
17,-4.716667136177421,-4.716667136177421,-4.716667136177421,0.0
18,-10.658333755563945,-10.658333755563945,-10.658333755563945,0.0
19,-11.425000406762896,-11.425000406762896,-11.425000406762896,0.0
20,-0.29166693120108295,-0.29166693120108295,-0.29166693120108295,0.0
21,-6.566666990790206,-6.566666990790206,-6.566666990790206,0.0
22,-3.404166900397589,-3.404166900397589,-3.404166900397589,0.0
23,-18.579167389582533,-18.579167389582533,-18.579167389582533,0.0
24,-8.775000521563925,-8.775000521563925,-8.775000521563925,0.0
25,-5.500000242997582,-5.500000242997582,-5.500000242997582,0.0
26,-8.608333866732815,-8.608333866732815,-8.608333866732815,0.0
27,-5.420833650355537,-5.420833650355537,-5.420833650355537,0.0
28,-5.8583338939740015,-5.8583338939740015,-5.8583338939740015,0.0
29,-13.687500539119355,-13.687500539119355,-13.687500539119355,0.0
30,-15.775000750708083,-15.775000750708083,-15.775000750708083,0.0
31,-9.758333710798373,-9.758333710798373,-9.758333710798373,0.0
32,-1.9291670686410118,-1.9291670686410118,-1.9291670686410118,0.0
33,-5.512500365807985,-5.512500365807985,-5.512500365807985,0.0
34,-7.387500584047909,-7.387500584047909,-7.387500584047909,0.0
35,-16.229167356543865,-16.229167356543865,-16.229167356543865,0.0
36,-11.312500376293125,-11.312500376293125,-11.312500376293125,0.0
37,-8.504167147291204,-8.504167147291204,-8.504167147291204,0.0
38,-12.170833923077831,-12.170833923077831,-12.170833923077831,0.0
39,-8.512500381601663,-8.512500381601663,-8.512500381601663,0.0
