Generation,Min,Mean,Max,Std
-1,-27.200001002289355,-24.14000087119639,-21.700000766664743,1.8293168907341257
0,-36.70000140927732,-21.97250078349219,-3.6499999933876097,6.623389551122544
1,-50.400001996196806,-20.74666740408478,-3.6999999955296516,11.62388706151259
2,-45.60000179056078,-12.653333715007951,-3.2999999783933163,9.411614975588904
3,-45.25000177556649,-12.90333372958315,-3.2999999783933163,9.591315351122587
4,-50.70000200904906,-11.964167016240147,-3.2499999762512743,11.777680990930111
5,-50.30000199191272,-11.987500356370584,-3.2999999783933163,11.194566221756897
6,-50.70000200904906,-13.451667085119213,-3.2999999783933163,13.044293585538732
7,-50.400001996196806,-12.0350003551847,-3.1999999741092324,12.43052512521152
8,-50.70000200904906,-12.497500373066092,-3.1999999741092324,14.510736373897178
9,-50.0500020198524,-12.288333697438551,-3.0999999698251486,12.926976119296192
10,-50.30000199191272,-9.137500230409206,-3.1999999741092324,9.54413309741534
11,-46.950001848395914,-11.095833646350851,-3.1999999741092324,11.902119690568261
12,-32.25000129593536,-8.190000189173345,-3.2999999783933163,9.000832757963428
13,-50.70000200904906,-12.892500393853213,-3.200000051409006,13.512670018071537
14,-50.70000200904906,-10.541666958519878,-3.2999999783933163,12.183726580649706
15,-49.8000019704923,-10.735000297559115,-3.1999999741092324,11.860573498906266
16,-49.15000194264576,-10.387500284604418,-3.2499999762512743,11.167317471656604
17,-50.400001996196806,-8.16166685333786,-3.2499999762512743,10.529547634563105
18,-50.70000200904906,-13.746667093248107,-3.2999999783933163,14.36897722818198
19,-50.20000198762864,-11.59000033805302,-2.7000001072883606,11.806865739604739
20,-50.70000200904906,-11.909167015172232,-3.2499999762512743,13.666740905681182
21,-49.300001949071884,-12.329167033809547,-3.0999999698251486,12.486213909567864
22,-50.50000200048089,-13.45416708200549,-3.0999999698251486,12.848503355470298
23,-50.00000197906047,-13.740833764818186,-3.0999999698251486,14.543024421120332
24,-50.70000200904906,-11.415833660059919,-3.250000014901161,12.52466450923993
25,-50.30000199191272,-13.0241670680698,-3.0999999698251486,12.089136459183925
26,-50.70000200904906,-9.398333574272693,-3.0999999698251486,11.43335435335311
27,-50.600002004764974,-9.634166918353488,-3.0999999698251486,10.394921048351051
28,-49.25000194692984,-9.66250025354481,-3.2499999762512743,11.651694315091325
29,-50.70000200904906,-14.624167130196778,-3.1999999741092324,14.596522732969493
30,-50.600002004764974,-8.470000203722156,-2.9999999655410647,10.044970983567243
31,-49.8000019704923,-9.677500252254928,-3.1999999741092324,12.685860207612366
32,-30.250001132953912,-10.15333360855002,-3.0000000428408384,9.590359576639878
33,-50.25000198977068,-11.467500328295865,-3.0999999698251486,11.432544771347207
34,-50.70000200904906,-9.83916693419839,-2.9999999655410647,10.118202238937533
35,-50.400001996196806,-10.185000275929148,-2.9000000385567546,11.706783790027231
36,-50.400001996196806,-10.107500271320653,-3.1999999741092324,11.447805320755306
37,-30.000001122243702,-11.178333658880243,-2.9999999655410647,10.041594619986448
38,-50.20000198762864,-10.941666980809533,-3.0000000428408384,11.718195638618576
39,-31.00000116508454,-10.02916693398729,-2.9999999655410647,9.813130619102246
