Generation,Min,Mean,Max,Std
-1,-22.65000081380519,-22.65000081380519,-22.65000081380519,0.0
0,-18.8250006660431,-18.8250006660431,-18.8250006660431,0.0
1,-16.97916723108695,-16.97916723108695,-16.97916723108695,0.0
2,-11.450000330766974,-11.450000330766974,-11.450000330766974,0.0
3,-15.383333861478604,-15.383333861478604,-15.383333861478604,0.0
4,-12.679167046871347,-12.679167046871347,-12.679167046871347,0.0
5,-8.191666857843908,-8.191666857843908,-8.191666857843908,0.0
6,-11.300000321120024,-11.300000321120024,-11.300000321120024,0.0
7,-12.545833711046726,-12.545833711046726,-12.545833711046726,0.0
8,-8.583333538069079,-8.583333538069079,-8.583333538069079,0.0
9,-9.39166693490309,-9.39166693490309,-9.39166693490309,0.0
10,-11.78333368160141,-11.78333368160141,-11.78333368160141,0.0
11,-6.808333523222245,-6.808333523222245,-6.808333523222245,0.0
12,-21.641667466261424,-21.641667466261424,-21.641667466261424,0.0
13,-10.170833692808324,-10.170833692808324,-10.170833692808324,0.0
14,-16.408333895844407,-16.408333895844407,-16.408333895844407,0.0
15,-9.75833360129036,-9.75833360129036,-9.75833360129036,0.0
16,-14.466667139553465,-14.466667139553465,-14.466667139553465,0.0
17,-14.85000059225907,-14.85000059225907,-14.85000059225907,0.0
18,-13.629167174299559,-13.629167174299559,-13.629167174299559,0.0
19,-3.6750001359420517,-3.6750001359420517,-3.6750001359420517,0.0
20,-7.416666930813032,-7.416666930813032,-7.416666930813032,0.0
21,-8.387500427779742,-8.387500427779742,-8.387500427779742,0.0
22,-6.970833726304893,-6.970833726304893,-6.970833726304893,0.0
23,-12.595833816022301,-12.595833816022301,-12.595833816022301,0.0
24,-12.470833752925197,-12.470833752925197,-12.470833752925197,0.0
25,-11.900000356486998,-11.900000356486998,-11.900000356486998,0.0
26,-6.791666942454564,-6.791666942454564,-6.791666942454564,0.0
27,-8.387500347375559,-8.387500347375559,-8.387500347375559,0.0
28,-12.050000362913124,-12.050000362913124,-12.050000362913124,0.0
29,-13.483333828276955,-13.483333828276955,-13.483333828276955,0.0
30,-10.054167133639567,-10.054167133639567,-10.054167133639567,0.0
31,-11.100000524776988,-11.100000524776988,-11.100000524776988,0.0
32,-10.216666944596605,-10.216666944596605,-10.216666944596605,0.0
33,-8.525000366265886,-8.525000366265886,-8.525000366265886,0.0
34,-5.854166937836756,-5.854166937836756,-5.854166937836756,0.0
35,-4.345833530222687,-4.345833530222687,-4.345833530222687,0.0
36,-7.745833650114946,-7.745833650114946,-7.745833650114946,0.0
37,-10.154167128261179,-10.154167128261179,-10.154167128261179,0.0
38,-10.404167004162446,-10.404167004162446,-10.404167004162446,0.0
39,-7.600000287988223,-7.600000287988223,-7.600000287988223,0.0
