Generation,Min,Mean,Max,Std
-1,-24.17500088879994,-24.17500088879994,-24.17500088879994,0.0
0,-17.295833920982357,-17.295833920982357,-17.295833920982357,0.0
1,-19.29166733981886,-19.29166733981886,-19.29166733981886,0.0
2,-9.80416694302888,-9.80416694302888,-9.80416694302888,0.0
3,-10.520833621073203,-10.520833621073203,-10.520833621073203,0.0
4,-12.545833711046726,-12.545833711046726,-12.545833711046726,0.0
5,-11.970833683192419,-11.970833683192419,-11.970833683192419,0.0
6,-6.933333467381696,-6.933333467381696,-6.933333467381696,0.0
7,-16.49583389315133,-16.49583389315133,-16.49583389315133,0.0
8,-9.104166932365237,-9.104166932365237,-9.104166932365237,0.0
9,-11.779167037185593,-11.779167037185593,-11.779167037185593,0.0
10,-9.933333618449979,-9.933333618449979,-9.933333618449979,0.0
11,-8.587500282214023,-8.587500282214023,-8.587500282214023,0.0
12,-7.216666877036914,-7.216666877036914,-7.216666877036914,0.0
13,-5.100000183757705,-5.100000183757705,-5.100000183757705,0.0
14,-6.733333513334704,-6.733333513334704,-6.733333513334704,0.0
15,-8.55833364961048,-8.55833364961048,-8.55833364961048,0.0
16,-10.083333644084632,-10.083333644084632,-10.083333644084632,0.0
17,-4.941666802236189,-4.941666802236189,-4.941666802236189,0.0
18,-10.770833635004237,-10.770833635004237,-10.770833635004237,0.0
19,-9.637500326964073,-9.637500326964073,-9.637500326964073,0.0
20,-7.658333652458775,-7.658333652458775,-7.658333652458775,0.0
21,-6.750000222586095,-6.750000222586095,-6.750000222586095,0.0
22,-5.345833463671927,-5.345833463671927,-5.345833463671927,0.0
23,-11.3625003270184,-11.3625003270184,-11.3625003270184,0.0
24,-14.48333389343073,-14.48333389343073,-14.48333389343073,0.0
25,-18.904167390622508,-18.904167390622508,-18.904167390622508,0.0
26,-8.033333572481448,-8.033333572481448,-8.033333572481448,0.0
27,-6.395833502096745,-6.395833502096745,-6.395833502096745,0.0
28,-11.733333772863261,-11.733333772863261,-11.733333772863261,0.0
29,-10.420833636114063,-10.420833636114063,-10.420833636114063,0.0
30,-7.016666935873218,-7.016666935873218,-7.016666935873218,0.0
31,-7.033333770736742,-7.033333770736742,-7.033333770736742,0.0
32,-6.516667023960811,-6.516667023960811,-6.516667023960811,0.0
33,-10.475000321088979,-10.475000321088979,-10.475000321088979,0.0
34,-4.687500269385055,-4.687500269385055,-4.687500269385055,0.0
35,-7.891666944604367,-7.891666944604367,-7.891666944604367,0.0
36,-11.40000057949995,-11.40000057949995,-11.40000057949995,0.0
37,-16.612500571257744,-16.612500571257744,-16.612500571257744,0.0
38,-8.22916717439269,-8.22916717439269,-8.22916717439269,0.0
39,-9.73750039911829,-9.73750039911829,-9.73750039911829,0.0
