Generation,Min,Mean,Max,Std
-1,-23.07500084489584,-23.07500084489584,-23.07500084489584,0.0
0,-22.49166747368872,-22.49166747368872,-22.49166747368872,0.0
1,-17.020833918863598,-17.020833918863598,-17.020833918863598,0.0
2,-10.05416695373909,-10.05416695373909,-10.05416695373909,0.0
3,-9.81250027671922,-9.81250027671922,-9.81250027671922,0.0
4,-4.825000053388067,-4.825000053388067,-4.825000053388067,0.0
5,-9.233333585240567,-9.233333585240567,-9.233333585240567,0.0
6,-7.0291668853412075,-7.0291668853412075,-7.0291668853412075,0.0
7,-12.137500366661698,-12.137500366661698,-12.137500366661698,0.0
8,-11.18750031630043,-11.18750031630043,-11.18750031630043,0.0
9,-6.079166896059178,-6.079166896059178,-6.079166896059178,0.0
10,-7.554166962470238,-7.554166962470238,-7.554166962470238,0.0
11,-5.725000188569538,-5.725000188569538,-5.725000188569538,0.0
12,-6.925000156237123,-6.925000156237123,-6.925000156237123,0.0
13,-12.191667145156922,-12.191667145156922,-12.191667145156922,0.0
14,-5.629166902430977,-5.629166902430977,-5.629166902430977,0.0
15,-8.154166994499974,-8.154166994499974,-8.154166994499974,0.0
16,-9.112500391434878,-9.112500391434878,-9.112500391434878,0.0
17,-3.2541668908670545,-3.2541668908670545,-3.2541668908670545,0.0
18,-16.31250067734315,-16.31250067734315,-16.31250067734315,0.0
19,-7.929166978302722,-7.929166978302722,-7.929166978302722,0.0
20,-9.445833838777617,-9.445833838777617,-9.445833838777617,0.0
21,-6.133333699622502,-6.133333699622502,-6.133333699622502,0.0
22,-9.204167004286623,-9.204167004286623,-9.204167004286623,0.0
23,-4.891667202231474,-4.891667202231474,-4.891667202231474,0.0
24,-6.170833888269651,-6.170833888269651,-6.170833888269651,0.0
25,-8.241667027235962,-8.241667027235962,-8.241667027235962,0.0
26,-11.058333907625638,-11.058333907625638,-11.058333907625638,0.0
27,-3.9208339357671016,-3.9208339357671016,-3.9208339357671016,0.0
28,-4.029167013786112,-4.029167013786112,-4.029167013786112,0.0
29,-6.204167190473527,-6.204167190473527,-6.204167190473527,0.0
30,-14.533333934571905,-14.533333934571905,-14.533333934571905,0.0
31,-9.908333784512555,-9.908333784512555,-9.908333784512555,0.0
32,-4.295833675423637,-4.295833675423637,-4.295833675423637,0.0
33,-10.65416708883519,-10.65416708883519,-10.65416708883519,0.0
34,-3.858333673366966,-3.858333673366966,-3.858333673366966,0.0
35,-5.8708338454986615,-5.8708338454986615,-5.8708338454986615,0.0
36,-3.88750045618508,-3.88750045618508,-3.88750045618508,0.0
37,-13.8833340065709,-13.8833340065709,-13.8833340065709,0.0
38,-8.745833921052204,-8.745833921052204,-8.745833921052204,0.0
39,-7.491667267944043,-7.491667267944043,-7.491667267944043,0.0
