Generation,Min,Mean,Max,Std
-1,-23.808334199983317,-23.808334199983317,-23.808334199983317,0.0
0,-23.15000084488808,-23.15000084488808,-23.15000084488808,0.0
1,-19.65416737467361,-19.65416737467361,-19.65416737467361,0.0
2,-15.562500545599809,-15.562500545599809,-15.562500545599809,0.0
3,-12.7916671000033,-12.7916671000033,-12.7916671000033,0.0
4,-9.691666938209286,-9.691666938209286,-9.691666938209286,0.0
5,-10.108333616284654,-10.108333616284654,-10.108333616284654,0.0
6,-13.76666711922735,-13.76666711922735,-13.76666711922735,0.0
7,-13.841667135323709,-13.841667135323709,-13.841667135323709,0.0
8,-15.36250052736917,-15.36250052736917,-15.36250052736917,0.0
9,-7.879166960289392,-7.879166960289392,-7.879166960289392,0.0
10,-19.16250073525589,-19.16250073525589,-19.16250073525589,0.0
11,-16.725000640260987,-16.725000640260987,-16.725000640260987,0.0
12,-6.750000219598102,-6.750000219598102,-6.750000219598102,0.0
13,-13.250000478738608,-13.250000478738608,-13.250000478738608,0.0
14,-6.11250018584542,-6.11250018584542,-6.11250018584542,0.0
15,-13.725000518296534,-13.725000518296534,-13.725000518296534,0.0
16,-11.17916700837668,-11.17916700837668,-11.17916700837668,0.0
17,-15.01250055746641,-15.01250055746641,-15.01250055746641,0.0
18,-6.495833603005546,-6.495833603005546,-6.495833603005546,0.0
19,-12.954167087639993,-12.954167087639993,-12.954167087639993,0.0
20,-12.716667090348588,-12.716667090348588,-12.716667090348588,0.0
21,-8.91666706558317,-8.91666706558317,-8.91666706558317,0.0
22,-10.03750042784183,-10.03750042784183,-10.03750042784183,0.0
23,-6.437500273381981,-6.437500273381981,-6.437500273381981,0.0
24,-8.462500373250805,-8.462500373250805,-8.462500373250805,0.0
25,-11.258333707305914,-11.258333707305914,-11.258333707305914,0.0
26,-13.295833907322958,-13.295833907322958,-13.295833907322958,0.0
27,-6.583333629067056,-6.583333629067056,-6.583333629067056,0.0
28,-6.241666915787694,-6.241666915787694,-6.241666915787694,0.0
29,-9.050000324224433,-9.050000324224433,-9.050000324224433,0.0
30,-6.687500486538435,-6.687500486538435,-6.687500486538435,0.0
31,-10.504167246321837,-10.504167246321837,-10.504167246321837,0.0
32,-9.862500536177928,-9.862500536177928,-9.862500536177928,0.0
33,-11.904167325507538,-11.904167325507538,-11.904167325507538,0.0
34,-6.258333843123789,-6.258333843123789,-6.258333843123789,0.0
35,-2.383333776262589,-2.383333776262589,-2.383333776262589,0.0
36,-5.091667094733566,-5.091667094733566,-5.091667094733566,0.0
37,-1.61250031075906,-1.61250031075906,-1.61250031075906,0.0
38,-4.904167147430901,-4.904167147430901,-4.904167147430901,0.0
39,-9.120834020626111,-9.120834020626111,-9.120834020626111,0.0
