Generation,Min,Mean,Max,Std
-1,-25.07916758131857,-25.07916758131857,-25.07916758131857,0.0
0,-23.266667532656964,-23.266667532656964,-23.266667532656964,0.0
1,-18.96666735166218,-18.96666735166218,-18.96666735166218,0.0
2,-20.73750074475538,-20.73750074475538,-20.73750074475538,0.0
3,-18.016667320625857,-18.016667320625857,-18.016667320625857,0.0
4,-9.045833567545438,-9.045833567545438,-9.045833567545438,0.0
5,-16.875000572840992,-16.875000572840992,-16.875000572840992,0.0
6,-8.38333353594256,-8.38333353594256,-8.38333353594256,0.0
7,-10.80833366237736,-10.80833366237736,-10.80833366237736,0.0
8,-8.633333627173366,-8.633333627173366,-8.633333627173366,0.0
9,-9.662500279955566,-9.662500279955566,-9.662500279955566,0.0
10,-15.341667189922495,-15.341667189922495,-15.341667189922495,0.0
11,-12.662500408361666,-12.662500408361666,-12.662500408361666,0.0
12,-11.775000383340133,-11.775000383340133,-11.775000383340133,0.0
13,-16.162500596954487,-16.162500596954487,-16.162500596954487,0.0
14,-6.23333349536794,-6.23333349536794,-6.23333349536794,0.0
15,-7.866666863245579,-7.866666863245579,-7.866666863245579,0.0
16,-9.104167182658179,-9.104167182658179,-9.104167182658179,0.0
17,-7.591667028144002,-7.591667028144002,-7.591667028144002,0.0
18,-12.183333788920814,-12.183333788920814,-12.183333788920814,0.0
19,-15.42083401089379,-15.42083401089379,-15.42083401089379,0.0
20,-12.287500395633591,-12.287500395633591,-12.287500395633591,0.0
21,-14.479167268572686,-14.479167268572686,-14.479167268572686,0.0
22,-6.429166942912464,-6.429166942912464,-6.429166942912464,0.0
23,-7.900000438870241,-7.900000438870241,-7.900000438870241,0.0
24,-11.050000558064008,-11.050000558064008,-11.050000558064008,0.0
25,-9.796667045021119,-9.796667045021119,-9.796667045021119,0.0
26,-10.437500290611448,-10.437500290611448,-10.437500290611448,0.0
27,-14.004167126181224,-14.004167126181224,-14.004167126181224,0.0
28,-12.412500568005877,-12.412500568005877,-12.412500568005877,0.0
29,-3.5208335941424593,-3.5208335941424593,-3.5208335941424593,0.0
30,-18.204167286787804,-18.204167286787804,-18.204167286787804,0.0
31,-8.345833759095209,-8.345833759095209,-8.345833759095209,0.0
32,-9.462500380662581,-9.462500380662581,-9.462500380662581,0.0
33,-18.987500656900618,-18.987500656900618,-18.987500656900618,0.0
34,-5.779166943936919,-5.779166943936919,-5.779166943936919,0.0
35,-6.404167015920393,-6.404167015920393,-6.404167015920393,0.0
36,-11.733333881905613,-11.733333881905613,-11.733333881905613,0.0
37,-10.262500597940138,-10.262500597940138,-10.262500597940138,0.0
38,-19.787500736148406,-19.787500736148406,-19.787500736148406,0.0
39,-12.437500626702482,-12.437500626702482,-12.437500626702482,0.0
