Generation,Min,Mean,Max,Std
-1,-23.28750084755787,-23.28750084755787,-23.28750084755787,0.0
0,-19.49166734838703,-19.49166734838703,-19.49166734838703,0.0
1,-17.83333393756766,-17.83333393756766,-17.83333393756766,0.0
2,-13.500000505436523,-13.500000505436523,-13.500000505436523,0.0
3,-17.275000602860626,-17.275000602860626,-17.275000602860626,0.0
4,-11.183333655896908,-11.183333655896908,-11.183333655896908,0.0
5,-14.57916718624377,-14.57916718624377,-14.57916718624377,0.0
6,-9.987500367841372,-9.987500367841372,-9.987500367841372,0.0
7,-5.812500105355866,-5.812500105355866,-5.812500105355866,0.0
8,-15.866667231738878,-15.866667231738878,-15.866667231738878,0.0
9,-8.991666975858001,-8.991666975858001,-8.991666975858001,0.0
10,-14.066667170729488,-14.066667170729488,-14.066667170729488,0.0
11,-17.43750065813462,-17.43750065813462,-17.43750065813462,0.0
12,-16.02083394366006,-16.02083394366006,-16.02083394366006,0.0
13,-7.908333670076293,-7.908333670076293,-7.908333670076293,0.0
14,-11.354167031977946,-11.354167031977946,-11.354167031977946,0.0
15,-8.579166938861212,-8.579166938861212,-8.579166938861212,0.0
16,-8.225000295438804,-8.225000295438804,-8.225000295438804,0.0
17,-11.816667048571011,-11.816667048571011,-11.816667048571011,0.0
18,-5.566666970495135,-5.566666970495135,-5.566666970495135,0.0
19,-17.833333934346836,-17.833333934346836,-17.833333934346836,0.0
20,-14.36666729619416,-14.36666729619416,-14.36666729619416,0.0
21,-9.266667205956765,-9.266667205956765,-9.266667205956765,0.0
22,-11.204167259857059,-11.204167259857059,-11.204167259857059,0.0
23,-5.2250003856994836,-5.2250003856994836,-5.2250003856994836,0.0
24,-7.600000438668455,-7.600000438668455,-7.600000438668455,0.0
25,-7.104166853125207,-7.104166853125207,-7.104166853125207,0.0
26,-16.712500655946013,-16.712500655946013,-16.712500655946013,0.0
27,-9.900000453926623,-9.900000453926623,-9.900000453926623,0.0
28,-11.995833755121566,-11.995833755121566,-11.995833755121566,0.0
29,-10.304167086607777,-10.304167086607777,-10.304167086607777,0.0
30,-7.579167063037555,-7.579167063037555,-7.579167063037555,0.0
31,-9.55833385970133,-9.55833385970133,-9.55833385970133,0.0
32,-5.354166919753577,-5.354166919753577,-5.354166919753577,0.0
33,-10.970833900772655,-10.970833900772655,-10.970833900772655,0.0
34,-9.787500256323256,-9.787500256323256,-9.787500256323256,0.0
35,-5.450000482068087,-5.450000482068087,-5.450000482068087,0.0
36,-8.595833792933263,-8.595833792933263,-8.595833792933263,0.0
37,-10.570833912041659,-10.570833912041659,-10.570833912041659,0.0
38,-14.787500624894165,-14.787500624894165,-14.787500624894165,0.0
39,-5.408333794058611,-5.408333794058611,-5.408333794058611,0.0
