Generation,Min,Mean,Max,Std
-1,-24.45416756742634,-24.45416756742634,-24.45416756742634,0.0
0,-22.275000842831407,-22.275000842831407,-22.275000842831407,0.0
1,-15.816667181284478,-15.816667181284478,-15.816667181284478,0.0
2,-13.775000433592746,-13.775000433592746,-13.775000433592746,0.0
3,-12.73333372552103,-12.73333372552103,-12.73333372552103,0.0
4,-11.429166996541122,-11.429166996541122,-11.429166996541122,0.0
5,-11.754167010464394,-11.754167010464394,-11.754167010464394,0.0
6,-10.97916700625016,-10.97916700625016,-10.97916700625016,0.0
7,-8.041666867521903,-8.041666867521903,-8.041666867521903,0.0
8,-12.833333720142642,-12.833333720142642,-12.833333720142642,0.0
9,-19.783334033990588,-19.783334033990588,-19.783334033990588,0.0
10,-10.775000375928357,-10.775000375928357,-10.775000375928357,0.0
11,-24.400000930647366,-24.400000930647366,-24.400000930647366,0.0
12,-8.816666923269318,-8.816666923269318,-8.816666923269318,0.0
13,-9.233333643215397,-9.233333643215397,-9.233333643215397,0.0
14,-13.912500458808305,-13.912500458808305,-13.912500458808305,0.0
15,-13.595833868642027,-13.595833868642027,-13.595833868642027,0.0
16,-12.675000643784491,-12.675000643784491,-12.675000643784491,0.0
17,-16.47500058147125,-16.47500058147125,-16.47500058147125,0.0
18,-4.933333741384558,-4.933333741384558,-4.933333741384558,0.0
19,-5.212500436115079,-5.212500436115079,-5.212500436115079,0.0
20,-6.325000345745745,-6.325000345745745,-6.325000345745745,0.0
21,-19.566667345158447,-19.566667345158447,-19.566667345158447,0.0
22,-6.012500293708096,-6.012500293708096,-6.012500293708096,0.0
23,-7.433333630169121,-7.433333630169121,-7.433333630169121,0.0
24,-8.083333580832308,-8.083333580832308,-8.083333580832308,0.0
25,-10.654166992326887,-10.654166992326887,-10.654166992326887,0.0
26,-3.5541667364692935,-3.5541667364692935,-3.5541667364692935,0.0
27,-9.741667194563584,-9.741667194563584,-9.741667194563584,0.0
28,-14.475000585506981,-14.475000585506981,-14.475000585506981,0.0
29,-4.116667081718333,-4.116667081718333,-4.116667081718333,0.0
30,-9.437500633920232,-9.437500633920232,-9.437500633920232,0.0
31,-1.945833687360088,-1.945833687360088,-1.945833687360088,0.0
32,-12.012500766082667,-12.012500766082667,-12.012500766082667,0.0
33,-7.000000554330957,-7.000000554330957,-7.000000554330957,0.0
34,-9.075000460570058,-9.075000460570058,-9.075000460570058,0.0
35,-14.533333834842779,-14.533333834842779,-14.533333834842779,0.0
36,-9.183333692373708,-9.183333692373708,-9.183333692373708,0.0
37,-10.92083370895125,-10.92083370895125,-10.92083370895125,0.0
38,-14.700000679004006,-14.700000679004006,-14.700000679004006,0.0
39,-3.704167105800783,-3.704167105800783,-3.704167105800783,0.0
