Generation,Min,Mean,Max,Std
-1,-25.5583342910589,-25.5583342910589,-25.5583342910589,0.0
0,-20.995834085935105,-20.995834085935105,-20.995834085935105,0.0
1,-18.812500694495004,-18.812500694495004,-18.812500694495004,0.0
2,-18.23333399335388,-18.23333399335388,-18.23333399335388,0.0
3,-14.300000478629954,-14.300000478629954,-14.300000478629954,0.0
4,-8.345833531115204,-8.345833531115204,-8.345833531115204,0.0
5,-7.587500226489889,-7.587500226489889,-7.587500226489889,0.0
6,-14.283333817690922,-14.283333817690922,-14.283333817690922,0.0
7,-14.216667151389023,-14.216667151389023,-14.216667151389023,0.0
8,-11.958333724411204,-11.958333724411204,-11.958333724411204,0.0
9,-9.616666960646398,-9.616666960646398,-9.616666960646398,0.0
10,-9.200000240816735,-9.200000240816735,-9.200000240816735,0.0
11,-7.933333690123011,-7.933333690123011,-7.933333690123011,0.0
12,-10.616666958512118,-10.616666958512118,-10.616666958512118,0.0
13,-7.0291668981080875,-7.0291668981080875,-7.0291668981080875,0.0
14,-14.56666712773343,-14.56666712773343,-14.56666712773343,0.0
15,-13.341667190970233,-13.341667190970233,-13.341667190970233,0.0
16,-9.066667007942064,-9.066667007942064,-9.066667007942064,0.0
17,-9.979167072451673,-9.979167072451673,-9.979167072451673,0.0
18,-5.891667055043702,-5.891667055043702,-5.891667055043702,0.0
19,-16.120834037894383,-16.120834037894383,-16.120834037894383,0.0
20,-5.616667101237302,-5.616667101237302,-5.616667101237302,0.0
21,-10.258333767415024,-10.258333767415024,-10.258333767415024,0.0
22,-8.850000322214328,-8.850000322214328,-8.850000322214328,0.0
23,-6.820833729541239,-6.820833729541239,-6.820833729541239,0.0
24,-12.408333740585173,-12.408333740585173,-12.408333740585173,0.0
25,-8.454167325398885,-8.454167325398885,-8.454167325398885,0.0
26,-5.054167067011197,-5.054167067011197,-5.054167067011197,0.0
27,-8.741667279507965,-8.741667279507965,-8.741667279507965,0.0
28,-3.9541670073522255,-3.9541670073522255,-3.9541670073522255,0.0
29,-12.016667102114297,-12.016667102114297,-12.016667102114297,0.0
30,-11.983333722377816,-11.983333722377816,-11.983333722377816,0.0
31,-10.595833990878115,-10.595833990878115,-10.595833990878115,0.0
32,-7.083333699032664,-7.083333699032664,-7.083333699032664,0.0
33,-14.870833945693448,-14.870833945693448,-14.870833945693448,0.0
34,-18.908334006167326,-18.908334006167326,-18.908334006167326,0.0
35,-12.787500394508243,-12.787500394508243,-12.787500394508243,0.0
36,-1.341666998147654,-1.341666998147654,-1.341666998147654,0.0
37,-12.500000385412326,-12.500000385412326,-12.500000385412326,0.0
38,-3.8041669977052757,-3.8041669977052757,-3.8041669977052757,0.0
39,-9.64166723502179,-9.64166723502179,-9.64166723502179,0.0
